Payor Name,Corporate Name
ROOSTER OIL & GASLLC,ROOSTER ENERGY LTD
ROOSTER PETROLEUM LLC,ROOSTER PETROLEUM LLC
ROSE PETROLEUM UTAH LLC,ROSE PETROLEUM UTAH LLC
ROSEWOOD RESOURCESINC,THE ROSEWOOD CORP
ROSS EXPLORATIONSINC,ROSS EXPLORATIONS INC
SAGE NATURAL RESOURCES LLC,SAGE NATURAL RESOURCES LLC
SAMSON O & G USA INC,SAMSON OIL & GAS LTD
SAMSON RESOURCES COMPANY LLC,SAMSON RESOURCES II LLC
SAN JUAN BASIN PROPERTIES LLC,SAN JUAN BASIN PROPERTIES LLC
SAN JUAN RESOURCESINC,SAN JUAN RESOURCES INC
SAN PEDRO BAY PIPELINE COMPANY,AMPLIFY ENERGY CORP
SANARE ENERGY PARTNERS LLC,SANARE ENERGY PARTNERS LLC
SANDRIDGE ENERGY INC,SANDRIDGE ENERGY INC
SANDRIDGE EXPL PROD LLC,SANDRIDGE EXPL PROD LLC
SBI WEST TEXAS I LLC,SBI WEST TEXAS I LLC
SCHALK DEVELOPMENT CO,SCHALK DEVELOPMENT CO
SCOUT ENERGY MANAGEMENT LLC,SCOUT ENERGY PARTNERS
SCR ENERGY CAPITAL LLC,SCR ENERGY CAPITAL LLC
SCYTHIANLTD,SCYTHIAN LTD
SEA EAGLE FORD LLC,SUNDANCE ENERGY INC
SEARLES VALLEY MINERALS,NIRMA LTD
SEELEY OIL COMPANY,SEELEY OIL CO
SELL STEVE,SELL STEVE
SENECA RESOURCES COMPANY LLC,SENECA RESOURCES COMPANY LLC
SENTINEL PEAK RESOURCES CALIFORNIA LLC,SENTINEL PEAK RESOURCES LLC
SEVEN SISTERS OIL AND GAS LLC,SEVEN SISTERS OIL AND GAS LLC
SG INTERESTS ILTD,SG INTERESTS I LTD
SHARBRO ENERGY LLC,SHARBRO ENERGY LLC
SHELBY BOSWELL OPERATOR LLC,SHELBY BOSWELL OPERATOR LLC
SHELL GULF OF MEXICOINC,SHELL PLC
SHELL OFFSHORE INC,SHELL PLC
SHELL OFFSHOREINCORPORATED,SHELL PLC
SHELL PIPELINE COMPANY LP,SHELL PLC
SHELL TRADING US COMPANY,SHELL PLC
SIGNAL HILL COMPANY LLC,THE SIGNAL HILL CO LLC
SIGNAL PEAK ENERGY LLC,GLOBAL MINING GROUP LLC
SILVERBACK OPERATING II LLC,SILVERBACK EXPLORATION LLC
SIMCOE LLC,IKAV ENERGY INC
SITKA OIL AND GAS LLC,SITLKA OIL AND GAS LLC
SLASH EXPLORATION LP,SLASH EXPLORATION LP
SLAWSON EXPLORATION CO INC,SLAWSON COMPANIES
SLAWSON EXPLORATION COINC,SLAWSON COMPANIES
SM ENERGY COMPANY,SM ENERGY CO
SMC OIL & GAS LLC,SMC CORP OF AMERICA
SMITH RED PLAINS PRODUCTION,SMITH RED PLAINS PRODUCTION
SND OPERATINGLLC,SND ENERGY CO INC
SNOW OIL & GASINC,SNOW OIL & GAS INC
SNOWY OWL LLC,SNOWY OWL LLC
SOGC INC,REH CO
SOJITZ ENERGY VENTUREINC,SOJITZ ENERGY VENTURE INC
SOLIS PARTNERS LLC,SOLIS PARTNERS LLC
SOLVAY CHEMICALSINC,SOLVAY
SOLVAY USA INC,SOLVAY
SOMONT OIL COMPANYINC,SOMONT OIL CO INC
SOUTH PASS PETROLEUM INC,SOUTH PASS PETROLEUM INC
SOUTHERN CALIFORNIA GAS CO,SEMPRA ENERGY
SOUTHERN CALIFORNIA PUBLIC POWER AUTH,SOUTHERN CALIFORNIA PUBLIC POWER AUTHORITY
SOUTHLAND ROYALTY COMPANY LLC,SOUTHLAND ROYALTY CO LLC
SOUTHWEST ROYALTIES INC,NOBLE ENERGY
SOUTHWESTERN PRODUCTION CORP,SOUTWESTERN PRODUCTION CORP
SPC RESOURCES LLC,SPC RESOURCES LLC
SPECIAL ENERGY CORPORATION,SPECIAL ENERGY CORP
SPIRE STORAGE WEST LLC,SPIRE INC
SPRING CREEK COAL - NTEC,CLOUD PEAK ENERGY INC
SPUR ENERY PARTNERS LLC,SPUR ENERGY PARTNERS LLC
STAGHORN PETROLEUM II LLC,STAGHORN PETROLUEM LLC
STAGHORN PETROLEUM LLC,STAGHORN PETROLUEM LLC
STANDARD ENERGY CORP,STANDARD ENERGY CORP
STATE OF ALASKA,STATE OF ALASKA
STEAMBOAT HILLSL P,ORMAT NEVADA INC
STEPHENS & JOHNSON OPERATING CO,STEPHENS & JOHNSON OPERATING CO
STEPHENS PRODUCTION COMPANY,SF HOLDING CORP
STONE CREEK ENERGY PARTNERS III LP,STONE ENERGY CORP
STRACHAN EXPLORATIONINC,STRACHAN EXPLORATION INC
STRANGJOHN P,STRANG JOHN P
STRATA PRODUCTION COMPANY,STRATA PRODUCTION CO
STROUD EXPLORATION CO LLC,STROUD EXPLORATION CO LLC
STROUD PETROLEUM INC,STROUD EXPLORATION CO LLC
SUMMIT GAS RESOURCESINC,SUMMIT GAS RESOURCES INC
SUMMIT OPERATINGLLC,SUMMIT OPERATING LLC
SUMMIT OVERSEAS EXPLORATIONINC,SUMMIT OPERATING LLC
SUMMIT RESOURCES MGMTLLC,SUMMIT OPERATING LLC
SUNOCO PARTNERS M&T LP,ENERGY TRANSFER EQUITY
SUNRISE WIND LLC,SUNRISE WIND LLC
SUNSHINE VALLEY PETROLEUM CORP,SUNSHINE VALLEY PETROLEUM CORP
SWIFT ENERGY OPERATINGINC,SWIFT ENERGY OPERATING INC
SWN PRODUCTION (LOUISIANA) LLC,SOUTHWESTERN ENERGY PRODUCTION CO
SWN PRODUCTION COMPANY LLC,SOUTHWESTERN ENERGY PRODUCTION CO
SYNERGY OFFSHORE LLC,SYNERGY OFFSHORE LLC
SYNERGY OPERATING LLC,SYNERGY OFFSHORE LLC
TACITUS LLC,NAVAJO TRANSITIONAL ENERGY CO
TALLGRASS INTERSTATE GAS TRNSMISSION LLC,TALLGRASS ENERGY PARTNERS LP
TALLGRASS MIDSTREAM GATHERING LLC,TALLGRASS ENERGY PARTNERS LP
TALOS ENERGY OFFSHORE LLC,TALOS ENERGY INC
TALOS ERT LLC,TALOS ENERGY INC
TALOS OIL AND GAS LLC,TALOS ENERGY INC
TALOS PETROLEUM LLC,TALOS ENERGY INC
TALOS RESOURCES LLC,TALOS ENERGY INC
TANA EXPLORATION COMPANY LLC,TANA EXPLORATION CO LLC
TANDEM ENERGY CORPORATION,TANDEM ENERGY CORP
TAP ROCK OPERATING LLC,TAP ROCK OPERATING LLC
TAPSTONE ENERGYLLC,DIVERSIFIED ENERGY CO PLC
TASCOSA ENERGY PARTNERS LLC,TASCOSA ENERGY PARTNERS LLC
TATA CHEMICALS,TATA GROUP
TDB RESOURCES LP,TDB RESOURCES LP
TEAM OPERATING LLC,TEAM OPERATING LLC
TELLURIAN OPERATING LLC,TELLURIAN INC
TELLUS OPERATING GROUP LLC,TELLUS OPERATING GROUP LLC
TEMPLAR ENERGY LLC,TEMPLAR ENERGY LLC
TENNESSEE GAS PIPELINE COMPANY,KINDER MORGAN INC
TEOCALI ENERGY LLC,TEOCALI ENERGY LLC
TEP ROCKY MOUNTAIN LLC,TERRA ENERGY PARTNERS LLC
TERRA-GEN DIXIE VALLEYLLC,ENERGY CAPITAL PARTNERS
TERRITORY RESOURCES LLC,TERRITORY RESOURCES LLC
TETON RESOURCES LLC,TETON RESOURCES LLC
TETRA TECHNOLOGIES INC,TETRA TECHNOLOGIES INC
TEXAS INDEPENDENT EXPL LIMITED,TEXAS INDEPENDENT EXPLORATION LTD
TEXAS OIL PURCHASING LLC,TEXAS OIL PURCHASING LLC
TEXAS PETROLEUM INVESTMENT COMPANY,TEXAS PETROLUEM INVESTMENT CO
TEXICAN CRUDE & HYDROCARBONS LLC,TEXICAN CRUDE & HYDROCARBONS LLC
TEXLAND PETROLEUM LP,TEXLAND PETROLEUM LP
TEXON L P,TEXON L P
THE AKLAQ COMPANY ALASKA INC,THE AKLAQ COMPANY ALASKA INC
THE ALLAR COMPANY,THE ALLAR CO
THE TERMO COMPANY,THE TERMO CO
THOMPSON ENGR & PROD CORP,THOMPSON ENGR & PROD CORP
THREE FORKS RESOURCESLLC,THREE FORKS RESOURCES LLC
THUNDER BASIN COAL COMPANY LLC,ARCH RESOURCES
THUNDER BASIN RESOURCES LLC,THUNDER BASIN RESOURCES LLC
TIERRA OIL COMPANYLLC,TIERRA OIL CO LLC
TITAN EXPLORATION LLC,KIMMERIDGE ENERGY
TITUS OIL & GAS LLC,EARTHSTONE ENERGY INC
TLS GEOTHERMICS CORP,TLS GEOTHERMICS CORP
TOC OIL INC,TRANSWORLD SYSTEMS PETROLUEM INC
TOTALENERGIES RENEWABLES USA LLC,TOTAL ENERGIES
TRANSWORLD SYSTEMS PETROLEUM INC,TRANSWORLD SYSTEMS PETROLUEM INC
TRAPPER MINING INC,TRAPPER MINING INC
TRIAD HUNTER LLC,MAGNUM HUNTER RESOURCES CORP
TROVE ENERGY LLC,TROVE ENERGY LLC
TRUE OILLLC,TRUE COMPANIES INC
TRUTH RESOURCESLP,TRUTH RESOURCES LP
TURLOCK IRRIGATION DISTRICT,TURLOCK IRRIGATION DISTRICT
TURNER PRODUCTION COMPANY,TURNER PETROLEUM LAND SERVICES INC
TWENTYMILE COAL COMPANY,PEABODY ENERGY CORP
TWIN METALS MINNESOTA LLC,TWIN METALS MINNESOTA LLC
UINTA WAX OPERATING LLC,UINTA WAX OPERATING LLC
ULTRA RESOURCES INC,ULTRA PETROLEUM CORP
UNBRIDLED RESOURCES LLC,EIG GLOBAL ENERGY PARTNERS
UNION OIL CO OF CALIFORNIA,CHEVRON CORP
UNIONVILLE ROYALTY COMPANYLLC,UNIONVILLE ROYALTY COMPANY LLC
UNIT PETROLEUM COMPANY,UNIT CORP
UNITED ENERGY TRADING LLC,UNITED ENERGY TRADING LLC
UNITED SALT CORP,UNITED SALT CORP
URBAN FUND II LP,URBAN OIL AND GAS LLC
URBAN OIL AND GAS LLC,URBAN ENERGY PARTNERS
US MINE CORPORATION,US MINE CORP
USG NEVADA LLC,ORMAT TECHNOLOGIES INC
UTAH GAS OP LTD,UTAH GAS OP LTD
UTAH GAS OPERATING SOLUTIONS LLC,UTAH GAS OP LTD
UTAH LAND RESOURCES INC,UTAH LAND RESOURCES INC
VALKYRIE RESOURCES LLC,ENDLESS ENERGY CORP
VALLEE LAURENCE S,VALLEE LAURENCE S
VAQUERO BIG HORN,VAQUERO BIG HORN
VAQUERO ENERGYINC,VAQUERO ENERGY
VAQUERO UNITA LLC,VAQUERO UINITA LLC
VELIKAN RENEWABLES LLC,VELIKAN RENEWABLES LLC
VENTURE OIL & GASINC,VENTURE OIL & GAS INC
VERDAD RESOURCES LLC,VERDAD RESOURCES
VERMILION ENERGY USA,VERMILION ENERGY INC
VERNON E FAULCONERINC,VERNON E FAULCONER INC
V-F PETROLEUM INC,V-F PETROLEUM INC
VINE ENERGY OPERATING LP,CHESAPEAKE ENERGY CORP
VINEYARD MID-ATLANTIC LLC,VINEYARD OFFSHORE
VINEYARD WIND LLC,VINEYARD WIND LLC
VIRGINIA ELECTRIC AND POWER COMPANY,DOMINION ENERGY INC
W & T ENERGY VI LLC,W&T OFFSHORE INC
W & T OFFSHOREINC,W&T OFFSHORE INC
W&T OFFSHORE INC,W&T OFFSHORE INC
WAGNER OIL COMPANY,WAGNER OIL CO
"WALDORF PRODUCTIONS US, LLC",WALDORF ENERGY NETHERLANDS BV
WALTER OIL AND GAS CORPORATION,WALTER OIL & GAS CORP
WAMSUTTER E&P LLC,WAMSUTTER E&P LLC
WAPITI OPERATING LLC,WAPITI OPERATING LLC
WARD PETROLEUM CORPORATION,WARD PETROLEUM CORP
WARREN E&PINC,WARREN RESOURCES INC
WARREN RESOURCES INC,WARREN RESOURCES INC
WARRIOR MET COAL GAS LLC,WARRIOR MET COAL MINING LLC
WAVE PETROLEUM LLC,WAVE PETROLEUM LLC
WELLS PETROLEUM INC,WELLS PETROLEUM INC
WELLSTAR CORP,WELLSTAR CORP
WELLSTAR CORPORATION,WELLSTAR CORP
WERRUS ACQUAMARINE LLC,WERRUS ENERGY
WESCO OPERATINGINC,KIRKWOOD COMPANIES
WESPAC ENERGY LLC,WESPAC ENERGY LLC
WEST AMERICAN ENERGY CORP,WEST AMERICAN ENERGY CORP
WEST LARGO CORPORATION,WEST LARGO CORP
WESTERN AMERICAN RESOURCES LLC,WESTERN AMERICAN RESOURCES LLC
WESTERN FUELS-WYOMING INC,WESTERN FUELS ASSOCIATION INC
WESTERN GENERALINC,WESTERN GENERAL INC
WESTERN MINERALS & OILLLC,WESTERN MINERALS & OIL LLC
WESTMORELAND ROSEBUD MINING LLC,WESTMORELAND MINING LLC
WESTMORELAND SAN JUAN MINING LLC,WESTMORELAND MINING LLC
WESTMORELAND SAVAGE MINING LLC,WESTMORELAND MINING LLC
WESTSTAR EXPLORATION COMPANY,WESTSTAR EXPLORATION CO
WEXPRO COMPANY,DOMINION ENERGY INC
WEXPRO DEVELOPMENT COMPANY,DOMINION ENERGY INC
WEXPRO II COMPANY,DOMINION ENERGY INC
WHITE EAGLE EXPLORATION INC,WHITE EAGLE EXPLORATION INC
WHITE OAK OPERATING COMPANY LLC,WHITE OAK OPERATING CO LLC
WHITE ROCK OIL & GAS,WHITE ROCK OIL & GAS LLC
WHITING OIL AND GAS CORPORATION,WHITING PETROLEUM CORP
WHITING RESOURCES,WHITING PETROLEUM CORP
WHITNEY OIL & GAS LLC,TRIMONT ENERGY LTD
WILBANKS RESERVE CORPORATION,WILBANKS RESERVE CORP
WILCOX OIL & GAS INC,WILCOX OIL & GAS INC
WILLISTON BASIN INTER PIPE CO,MDU RESOURCES GROUP INC
WOLD ENERGY PARTNERS LLC,WOLD OIL PROPERTIES LLC
WOLD OIL PROPERTIESLLC,WOLD OIL PROPERTIES LLC
WOLVERINE GAS & OIL CORP,WOLVERINE GAS & OIL CORP
WOODBURY RESOURCES LLC,WOODBURY RESOURCES LLC
WPX ENERGY CORPORATION,DEVON ENERGY CORP
WPX ENERGY PERMIAN LLC,DEVON ENERGY CORP
WPX ENERGY ROCKY MOUNTAIN LLC,DEVON ENERGY CORP
WPX ENERGY WILLISTON LLC,DEVON ENERGY CORP
WRC ENERGY LLC,REBELLION ENERGY II LLC
WYNN-CROSBY OPERATINGLTD,WYNN-CROSBY
WYODAK RESOURCES DEVCORP,BLACK HILLS CORP
XCL ASSET CO,XCL RESOURCES LLC
XOG OPERATINGLLC,XOG OPERATING LLC
XTO ENERGY INC,EXXON MOBIL CORP
XTO HOLDINGS LLC,EXXON MOBIL CORP
XTO RESOURCES INCORPORATED,EXXON MOBIL CORP
ZANSKAR GEOTHERMAL & MINERALS INC,ZANSKAR GEOTHERMAL & MINERALS INC
ZAVANNA LLC,ZAVANNA RESOURCES LLC
ZAVANNA RESOURCES LLC,ZAVANNA RESOURCES LLC
ZDS-HARRINGTON ENERGY RES LTD,ZDS-HARRINGTON ENERGY RESOURCES LTD
ZDS-HARRINGTON SW ENERGY LTD,ZDS-HARRINGTON SW ENERGY LTD
ZDS-MAR OIL & GAS CORP,ZDS-MAR OIL & GAS CORP
ZDS-RIO ARIBAGAS LTD,ZDS-RIO ARIBAGAS LTD
ZENERGY OPERATING COMPANY LLC,ZENERGY OPERATING CO LLC
