period,calendar_year,fiscal_year,month,month_long,fiscal_month,period_date,location_name,fips_code,state,state_name,county,land_class,land_category,land_type,region_type,district_type,offshore_region,commodity,product,revenue,duplicate_no,row_number
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"",Not tied to a location,"","",Federal,Onshore,Federal Onshore,"","","",Hardrock,"",228.95,0,71
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"",Not tied to a location,"","",Federal,Onshore,Federal Onshore,"","","",Oil & Gas,"",3861752.6,0,72
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"",Not tied to a location,"","",Federal,Onshore,Federal Onshore,"","","",Phosphate,"",13077,0,73
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"",Not tied to a location,"","",Federal,Onshore,Federal Onshore,"","","",Potassium,"",22677.94,0,74
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"",Not tied to a location,"","",Federal,Onshore,Federal Onshore,"","","",Sodium,"",-41165.4,0,75
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"",Not tied to a location,"","",Federal,Onshore,Federal Onshore,"","","",Tar Sands,"",72.85,0,76
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Coal,"",84339,0,77
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Geothermal,"",134142.23,0,78
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Gilsonite,"",3820,0,79
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Hardrock,"",247,0,80
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Oil & Gas,"",4769988.92,0,81
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Phosphate,"",4129,0,82
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Potassium,"",-43319,0,83
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Sodium,"",-18527,0,84
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Coal,"",56832904.73,0,85
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Gas,"",199452181.17,0,86
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",NGL,"",25248267.79,0,87
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Oil,"",83591950.49,0,88
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Other Products,"",7939332.21,0,89
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"","","","",Federal,"",Federal - not tied to a location,"","","",Not tied to a commodity,"",865250,0,90
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"",Not tied to a location,"","",Federal,"",Federal - not tied to a location,"","","",Not tied to a commodity,"",-21831.75,0,91
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Coal,"",-73729.6,0,92
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Copper,"",600000,0,93
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Gas,"",9716.95,0,94
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",NGL,"",4056.74,0,95
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Oil,"",-10385.09,0,96
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Oil & Gas,"",251516.66,0,97
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Sand & Gravel,"",3300,0,98
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Oil & Gas,"",98901.6,0,99
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Sand & Gravel,"",541.66,0,100
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Coal,"",5994588.09,0,101
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Gas,"",17923552.71,0,102
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",NGL,"",1603684.27,0,103
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Oil,"",10081633.01,0,104
Monthly,2008,2008,2,February,5,2008-02-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Other Products,"",515072.79,0,105
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"","","","",Federal,Offshore,Federal - not tied to a location,"","","",Oil & Gas,"",935646488,0,106
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"",Not tied to a location,"","",Federal,Offshore,Federal Offshore,"","","",Gas,"",26081.33,0,107
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"",Not tied to a location,"","",Federal,Offshore,Federal Offshore,"","","",NGL,"",926.15,0,108
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"",Not tied to a location,"","",Federal,Offshore,Federal Offshore,"","","",Oil,"",290476.33,0,109
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"",Not tied to a location,"","",Federal,Offshore,Federal Offshore,"","","",Oil & Gas,"",3374358.83,0,110
