period,calendar_year,fiscal_year,month,month_long,fiscal_month,period_date,location_name,fips_code,state,state_name,county,land_class,land_category,land_type,region_type,district_type,offshore_region,commodity,product,volume,duplicate_no,row_number
Fiscal Year,0,2019,0,"",0,2019-01-01,"Kansas, Hamilton",20075,KS,Kansas,Hamilton,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),12254,0,11826
Fiscal Year,0,2019,0,"",0,2019-01-01,"Kansas, Haskell",20081,KS,Kansas,Haskell,Federal,Onshore,Federal Onshore,County,County,"",Oil,Oil (bbl),19950,0,11827
Fiscal Year,0,2019,0,"",0,2019-01-01,"Kansas, Haskell",20081,KS,Kansas,Haskell,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),128230,0,11828
Fiscal Year,0,2019,0,"",0,2019-01-01,"Kansas, Kearny",20093,KS,Kansas,Kearny,Federal,Onshore,Federal Onshore,County,County,"",Oil,Oil (bbl),20993,0,11829
Fiscal Year,0,2019,0,"",0,2019-01-01,"Kansas, Kearny",20093,KS,Kansas,Kearny,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),998536,0,11830
Fiscal Year,0,2019,0,"",0,2019-01-01,"Kansas, Lane",20101,KS,Kansas,Lane,Federal,Onshore,Federal Onshore,County,County,"",Oil,Oil (bbl),5998,0,11831
Fiscal Year,0,2019,0,"",0,2019-01-01,"Kansas, Meade",20119,KS,Kansas,Meade,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),1424,0,11832
Fiscal Year,0,2019,0,"",0,2019-01-01,"Kansas, Morton",20129,KS,Kansas,Morton,Federal,Onshore,Federal Onshore,County,County,"",Oil,Oil (bbl),40867,0,11833
Fiscal Year,0,2019,0,"",0,2019-01-01,"Kansas, Morton",20129,KS,Kansas,Morton,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),1456143,0,11834
Fiscal Year,0,2019,0,"",0,2019-01-01,"Kansas, Seward",20175,KS,Kansas,Seward,Federal,Onshore,Federal Onshore,County,County,"",Oil,Oil (bbl),29,0,11835
Fiscal Year,0,2019,0,"",0,2019-01-01,"Kansas, Seward",20175,KS,Kansas,Seward,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),61791,0,11836
Fiscal Year,0,2019,0,"",0,2019-01-01,"Kansas, Stanton",20187,KS,Kansas,Stanton,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),28176,0,11837
Fiscal Year,0,2019,0,"",0,2019-01-01,"Kansas, Stevens",20189,KS,Kansas,Stevens,Federal,Onshore,Federal Onshore,County,County,"",Oil,Oil (bbl),809,0,11838
Fiscal Year,0,2019,0,"",0,2019-01-01,"Kansas, Stevens",20189,KS,Kansas,Stevens,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),161634,0,11839
Fiscal Year,0,2019,0,"",0,2019-01-01,"Kansas, Trego",20195,KS,Kansas,Trego,Federal,Onshore,Federal Onshore,County,County,"",Oil,Oil (bbl),2034,0,11840
Fiscal Year,0,2019,0,"",0,2019-01-01,"Kentucky, Clay",21051,KY,Kentucky,Clay,Federal,Onshore,Federal Onshore,County,County,"",Oil,Oil (bbl),525,0,11841
Fiscal Year,0,2019,0,"",0,2019-01-01,"Kentucky, Clay",21051,KY,Kentucky,Clay,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),28984,0,11842
Fiscal Year,0,2019,0,"",0,2019-01-01,"Kentucky, Floyd",21071,KY,Kentucky,Floyd,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),1419,0,11843
Fiscal Year,0,2019,0,"",0,2019-01-01,"Kentucky, Henderson",21101,KY,Kentucky,Henderson,Federal,Onshore,Federal Onshore,County,County,"",Oil,Oil (bbl),2800,0,11844
Fiscal Year,0,2019,0,"",0,2019-01-01,"Kentucky, Johnson",21115,KY,Kentucky,Johnson,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),269,0,11845
Fiscal Year,0,2019,0,"",0,2019-01-01,"Kentucky, Lawrence",21127,KY,Kentucky,Lawrence,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),208,0,11846
Fiscal Year,0,2019,0,"",0,2019-01-01,"Kentucky, Leslie",21131,KY,Kentucky,Leslie,Federal,Onshore,Federal Onshore,County,County,"",Oil,Oil (bbl),713,0,11847
Fiscal Year,0,2019,0,"",0,2019-01-01,"Kentucky, Leslie",21131,KY,Kentucky,Leslie,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),53697,0,11848
Fiscal Year,0,2019,0,"",0,2019-01-01,"Kentucky, Letcher",21133,KY,Kentucky,Letcher,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),290,0,11849
Fiscal Year,0,2019,0,"",0,2019-01-01,"Kentucky, McCreary",21147,KY,Kentucky,McCreary,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),693,0,11850
Fiscal Year,0,2019,0,"",0,2019-01-01,"Kentucky, Morgan",21175,KY,Kentucky,Morgan,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),43,0,11851
Fiscal Year,0,2019,0,"",0,2019-01-01,"Kentucky, Pike",21195,KY,Kentucky,Pike,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),7013,0,11852
Fiscal Year,0,2019,0,"",0,2019-01-01,"Kentucky, Whitley",21235,KY,Kentucky,Whitley,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),12169,0,11853
Fiscal Year,0,2019,0,"",0,2019-01-01,"Louisiana, Bienville",22013,LA,Louisiana,Bienville,Federal,Onshore,Federal Onshore,County,Parish,"",Oil,Oil (bbl),30,0,11854
Fiscal Year,0,2019,0,"",0,2019-01-01,"Louisiana, Bienville",22013,LA,Louisiana,Bienville,Federal,Onshore,Federal Onshore,County,Parish,"",Gas,Gas (mcf),68287,0,11855
Fiscal Year,0,2019,0,"",0,2019-01-01,"Louisiana, Bossier",22015,LA,Louisiana,Bossier,Federal,Onshore,Federal Onshore,County,Parish,"",Oil,Oil (bbl),46606,0,11856
Fiscal Year,0,2019,0,"",0,2019-01-01,"Louisiana, Bossier",22015,LA,Louisiana,Bossier,Federal,Onshore,Federal Onshore,County,Parish,"",Gas,Gas (mcf),12031153,0,11857
Fiscal Year,0,2019,0,"",0,2019-01-01,"Louisiana, Caddo",22017,LA,Louisiana,Caddo,Federal,Onshore,Federal Onshore,County,Parish,"",Oil,Oil (bbl),6544,0,11858
Fiscal Year,0,2019,0,"",0,2019-01-01,"Louisiana, Caddo",22017,LA,Louisiana,Caddo,Federal,Onshore,Federal Onshore,County,Parish,"",Gas,Gas (mcf),1229661,0,11859
Fiscal Year,0,2019,0,"",0,2019-01-01,"Louisiana, Cameron",22023,LA,Louisiana,Cameron,Federal,Onshore,Federal Onshore,County,Parish,"",Oil,Oil (bbl),65161,0,11860
Fiscal Year,0,2019,0,"",0,2019-01-01,"Louisiana, Cameron",22023,LA,Louisiana,Cameron,Federal,Onshore,Federal Onshore,County,Parish,"",Gas,Gas (mcf),1793612,0,11861
Fiscal Year,0,2019,0,"",0,2019-01-01,"Louisiana, Claiborne",22027,LA,Louisiana,Claiborne,Federal,Onshore,Federal Onshore,County,Parish,"",Oil,Oil (bbl),4467,0,11862
Fiscal Year,0,2019,0,"",0,2019-01-01,"Louisiana, Claiborne",22027,LA,Louisiana,Claiborne,Federal,Onshore,Federal Onshore,County,Parish,"",Gas,Gas (mcf),78635,0,11863
Fiscal Year,0,2019,0,"",0,2019-01-01,"Louisiana, De Soto",22031,LA,Louisiana,De Soto,Federal,Onshore,Federal Onshore,County,Parish,"",Oil,Oil (bbl),61,0,11864
Fiscal Year,0,2019,0,"",0,2019-01-01,"Louisiana, De Soto",22031,LA,Louisiana,De Soto,Federal,Onshore,Federal Onshore,County,Parish,"",Gas,Gas (mcf),4001636,0,11865
Fiscal Year,0,2019,0,"",0,2019-01-01,"Louisiana, East Baton Rouge",22033,LA,Louisiana,East Baton Rouge,Federal,Onshore,Federal Onshore,County,Parish,"",Oil,Oil (bbl),427,0,11866
Fiscal Year,0,2019,0,"",0,2019-01-01,"Louisiana, East Baton Rouge",22033,LA,Louisiana,East Baton Rouge,Federal,Onshore,Federal Onshore,County,Parish,"",Gas,Gas (mcf),2526,0,11867
Fiscal Year,0,2019,0,"",0,2019-01-01,"Louisiana, Grant",22043,LA,Louisiana,Grant,Federal,Onshore,Federal Onshore,County,Parish,"",Oil,Oil (bbl),336,0,11868
Fiscal Year,0,2019,0,"",0,2019-01-01,"Louisiana, Lincoln",22061,LA,Louisiana,Lincoln,Federal,Onshore,Federal Onshore,County,Parish,"",Oil,Oil (bbl),17,0,11869
Fiscal Year,0,2019,0,"",0,2019-01-01,"Louisiana, Lincoln",22061,LA,Louisiana,Lincoln,Federal,Onshore,Federal Onshore,County,Parish,"",Gas,Gas (mcf),1256,0,11870
Fiscal Year,0,2019,0,"",0,2019-01-01,"Louisiana, Morehouse",22067,LA,Louisiana,Morehouse,Federal,Onshore,Federal Onshore,County,Parish,"",Gas,Gas (mcf),724,0,11871
Fiscal Year,0,2019,0,"",0,2019-01-01,"Louisiana, Ouachita",22073,LA,Louisiana,Ouachita,Federal,Onshore,Federal Onshore,County,Parish,"",Gas,Gas (mcf),271,0,11872
Fiscal Year,0,2019,0,"",0,2019-01-01,"Louisiana, Plaquemines",22075,LA,Louisiana,Plaquemines,Federal,Onshore,Federal Onshore,County,Parish,"",Oil,Oil (bbl),241775,0,11873
Fiscal Year,0,2019,0,"",0,2019-01-01,"Louisiana, Plaquemines",22075,LA,Louisiana,Plaquemines,Federal,Onshore,Federal Onshore,County,Parish,"",Gas,Gas (mcf),314681,0,11874
Fiscal Year,0,2019,0,"",0,2019-01-01,"Louisiana, Rapides",22079,LA,Louisiana,Rapides,Federal,Onshore,Federal Onshore,County,Parish,"",Oil,Oil (bbl),3154,0,11875
Fiscal Year,0,2019,0,"",0,2019-01-01,"Louisiana, Red River",22081,LA,Louisiana,Red River,Federal,Onshore,Federal Onshore,County,Parish,"",Oil,Oil (bbl),60,0,11876
Fiscal Year,0,2019,0,"",0,2019-01-01,"Louisiana, Red River",22081,LA,Louisiana,Red River,Federal,Onshore,Federal Onshore,County,Parish,"",Gas,Gas (mcf),20302,0,11877
Fiscal Year,0,2019,0,"",0,2019-01-01,"Louisiana, Sabine",22085,LA,Louisiana,Sabine,Federal,Onshore,Federal Onshore,County,Parish,"",Gas,Gas (mcf),50093,0,11878
Fiscal Year,0,2019,0,"",0,2019-01-01,"Louisiana, South Pass",22721,LA,Louisiana,South Pass,Federal,Onshore,Federal Onshore,County,Parish,"",Gas,Gas (mcf),250,0,11879
Fiscal Year,0,2019,0,"",0,2019-01-01,"Louisiana, South Pass",22721,LA,Louisiana,South Pass,Federal,Onshore,Federal Onshore,County,Parish,"",Oil,Oil (bbl),413,0,11880
Fiscal Year,0,2019,0,"",0,2019-01-01,"Louisiana, St. Martin",22099,LA,Louisiana,St. Martin,Federal,Onshore,Federal Onshore,County,Parish,"",Oil,Oil (bbl),980,0,11881
Fiscal Year,0,2019,0,"",0,2019-01-01,"Louisiana, St. Martin",22099,LA,Louisiana,St. Martin,Federal,Onshore,Federal Onshore,County,Parish,"",Gas,Gas (mcf),1289,0,11882
Fiscal Year,0,2019,0,"",0,2019-01-01,"Louisiana, Union",22111,LA,Louisiana,Union,Federal,Onshore,Federal Onshore,County,Parish,"",Gas,Gas (mcf),1037,0,11883
Fiscal Year,0,2019,0,"",0,2019-01-01,"Louisiana, Vermilion",22113,LA,Louisiana,Vermilion,Federal,Onshore,Federal Onshore,County,Parish,"",Oil,Oil (bbl),1406,0,11884
Fiscal Year,0,2019,0,"",0,2019-01-01,"Louisiana, Vernon",22115,LA,Louisiana,Vernon,Federal,Onshore,Federal Onshore,County,Parish,"",Oil,Oil (bbl),590,0,11885
Fiscal Year,0,2019,0,"",0,2019-01-01,"Louisiana, Vernon",22115,LA,Louisiana,Vernon,Federal,Onshore,Federal Onshore,County,Parish,"",Gas,Gas (mcf),2293,0,11886
Fiscal Year,0,2019,0,"",0,2019-01-01,"Louisiana, Webster",22119,LA,Louisiana,Webster,Federal,Onshore,Federal Onshore,County,Parish,"",Oil,Oil (bbl),2485,0,11887
Fiscal Year,0,2019,0,"",0,2019-01-01,"Louisiana, Webster",22119,LA,Louisiana,Webster,Federal,Onshore,Federal Onshore,County,Parish,"",Gas,Gas (mcf),9532734,0,11888
Fiscal Year,0,2019,0,"",0,2019-01-01,"Michigan, Alcona",26001,MI,Michigan,Alcona,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),2496,0,11889
Fiscal Year,0,2019,0,"",0,2019-01-01,"Michigan, Allegan",26005,MI,Michigan,Allegan,Federal,Onshore,Federal Onshore,County,County,"",Oil,Oil (bbl),114,0,11890
Fiscal Year,0,2019,0,"",0,2019-01-01,"Michigan, Antrim",26009,MI,Michigan,Antrim,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),1931,0,11891
Fiscal Year,0,2019,0,"",0,2019-01-01,"Michigan, Calhoun",26025,MI,Michigan,Calhoun,Federal,Onshore,Federal Onshore,County,County,"",Oil,Oil (bbl),253,0,11892
Fiscal Year,0,2019,0,"",0,2019-01-01,"Michigan, Calhoun",26025,MI,Michigan,Calhoun,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),1650,0,11893
Fiscal Year,0,2019,0,"",0,2019-01-01,"Michigan, Clare",26035,MI,Michigan,Clare,Federal,Onshore,Federal Onshore,County,County,"",Oil,Oil (bbl),1407,0,11894
Fiscal Year,0,2019,0,"",0,2019-01-01,"Michigan, Clare",26035,MI,Michigan,Clare,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),10951,0,11895
Fiscal Year,0,2019,0,"",0,2019-01-01,"Michigan, Crawford",26039,MI,Michigan,Crawford,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),26641,0,11896
Fiscal Year,0,2019,0,"",0,2019-01-01,"Michigan, Jackson",26075,MI,Michigan,Jackson,Federal,Onshore,Federal Onshore,County,County,"",Oil,Oil (bbl),4254,0,11897
Fiscal Year,0,2019,0,"",0,2019-01-01,"Michigan, Jackson",26075,MI,Michigan,Jackson,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),21556,0,11898
Fiscal Year,0,2019,0,"",0,2019-01-01,"Michigan, Kalkaska",26079,MI,Michigan,Kalkaska,Federal,Onshore,Federal Onshore,County,County,"",Oil,Oil (bbl),436,0,11899
Fiscal Year,0,2019,0,"",0,2019-01-01,"Michigan, Kalkaska",26079,MI,Michigan,Kalkaska,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),2842,0,11900
Fiscal Year,0,2019,0,"",0,2019-01-01,"Michigan, Montmorency",26119,MI,Michigan,Montmorency,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),408365,0,11901
Fiscal Year,0,2019,0,"",0,2019-01-01,"Michigan, Oscoda",26135,MI,Michigan,Oscoda,Federal,Onshore,Federal Onshore,County,County,"",Oil,Oil (bbl),4462,0,11902
Fiscal Year,0,2019,0,"",0,2019-01-01,"Michigan, Oscoda",26135,MI,Michigan,Oscoda,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),653385,0,11903
Fiscal Year,0,2019,0,"",0,2019-01-01,"Michigan, Otsego",26137,MI,Michigan,Otsego,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),5845,0,11904
Fiscal Year,0,2019,0,"",0,2019-01-01,"Michigan, Roscommon",26143,MI,Michigan,Roscommon,Federal,Onshore,Federal Onshore,County,County,"",Oil,Oil (bbl),2446,0,11905
Fiscal Year,0,2019,0,"",0,2019-01-01,"Michigan, Roscommon",26143,MI,Michigan,Roscommon,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),22769,0,11906
Fiscal Year,0,2019,0,"",0,2019-01-01,"Missouri, Crawford",29055,MO,Missouri,Crawford,Federal,Onshore,Federal Onshore,County,County,"",Zinc Concentrate,Zinc Concentrate (tons),9,0,11907
Fiscal Year,0,2019,0,"",0,2019-01-01,"Missouri, Crawford",29055,MO,Missouri,Crawford,Federal,Onshore,Federal Onshore,County,County,"",Lead Concentrate,Lead Concentrate (tons),406,0,11908
Fiscal Year,0,2019,0,"",0,2019-01-01,"Missouri, Crawford",29055,MO,Missouri,Crawford,Federal,Onshore,Federal Onshore,County,County,"",Copper Concentrate,Copper Concentrate (tons),1129,0,11909
Fiscal Year,0,2019,0,"",0,2019-01-01,"Missouri, Iron",29093,MO,Missouri,Iron,Federal,Onshore,Federal Onshore,County,County,"",Copper Concentrate,Copper Concentrate (tons),4261,0,11910
Fiscal Year,0,2019,0,"",0,2019-01-01,"Missouri, Iron",29093,MO,Missouri,Iron,Federal,Onshore,Federal Onshore,County,County,"",Zinc Concentrate,Zinc Concentrate (tons),11649,0,11911
Fiscal Year,0,2019,0,"",0,2019-01-01,"Missouri, Iron",29093,MO,Missouri,Iron,Federal,Onshore,Federal Onshore,County,County,"",Lead Concentrate,Lead Concentrate (tons),41778,0,11912
Fiscal Year,0,2019,0,"",0,2019-01-01,"Missouri, Reynolds",29179,MO,Missouri,Reynolds,Federal,Onshore,Federal Onshore,County,County,"",Copper Concentrate,Copper Concentrate (tons),4779,0,11913
Fiscal Year,0,2019,0,"",0,2019-01-01,"Missouri, Reynolds",29179,MO,Missouri,Reynolds,Federal,Onshore,Federal Onshore,County,County,"",Zinc Concentrate,Zinc Concentrate (tons),16049,0,11914
Fiscal Year,0,2019,0,"",0,2019-01-01,"Missouri, Reynolds",29179,MO,Missouri,Reynolds,Federal,Onshore,Federal Onshore,County,County,"",Lead Concentrate,Lead Concentrate (tons),64068,0,11915
Fiscal Year,0,2019,0,"",0,2019-01-01,"Missouri, Shannon",29203,MO,Missouri,Shannon,Federal,Onshore,Federal Onshore,County,County,"",Zinc Concentrate,Zinc Concentrate (tons),31,0,11916
Fiscal Year,0,2019,0,"",0,2019-01-01,"Missouri, Shannon",29203,MO,Missouri,Shannon,Federal,Onshore,Federal Onshore,County,County,"",Lead Concentrate,Lead Concentrate (tons),562,0,11917
Fiscal Year,0,2019,0,"",0,2019-01-01,"Missouri, Shannon",29203,MO,Missouri,Shannon,Federal,Onshore,Federal Onshore,County,County,"",Copper Concentrate,Copper Concentrate (tons),797,0,11918
Fiscal Year,0,2019,0,"",0,2019-01-01,"Missouri, Washington",29221,MO,Missouri,Washington,Federal,Onshore,Federal Onshore,County,County,"",Zinc Concentrate,Zinc Concentrate (tons),5,0,11919
Fiscal Year,0,2019,0,"",0,2019-01-01,"Missouri, Washington",29221,MO,Missouri,Washington,Federal,Onshore,Federal Onshore,County,County,"",Lead Concentrate,Lead Concentrate (tons),40,0,11920
Fiscal Year,0,2019,0,"",0,2019-01-01,"Mississippi, Adams",28001,MS,Mississippi,Adams,Federal,Onshore,Federal Onshore,County,County,"",Oil,Oil (bbl),5406,0,11921
Fiscal Year,0,2019,0,"",0,2019-01-01,"Mississippi, Chickasaw",28017,MS,Mississippi,Chickasaw,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),10513,0,11922
Fiscal Year,0,2019,0,"",0,2019-01-01,"Mississippi, Covington",28031,MS,Mississippi,Covington,Federal,Onshore,Federal Onshore,County,County,"",Oil,Oil (bbl),417,0,11923
Fiscal Year,0,2019,0,"",0,2019-01-01,"Mississippi, Covington",28031,MS,Mississippi,Covington,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),586,0,11924
Fiscal Year,0,2019,0,"",0,2019-01-01,"Mississippi, Forrest",28035,MS,Mississippi,Forrest,Federal,Onshore,Federal Onshore,County,County,"",Oil,Oil (bbl),388,0,11925
Fiscal Year,0,2019,0,"",0,2019-01-01,"Mississippi, Forrest",28035,MS,Mississippi,Forrest,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),39176,0,11926
Fiscal Year,0,2019,0,"",0,2019-01-01,"Mississippi, Franklin",28037,MS,Mississippi,Franklin,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),8111,0,11927
Fiscal Year,0,2019,0,"",0,2019-01-01,"Mississippi, Franklin",28037,MS,Mississippi,Franklin,Federal,Onshore,Federal Onshore,County,County,"",Oil,Oil (bbl),114925,0,11928
Fiscal Year,0,2019,0,"",0,2019-01-01,"Mississippi, Jasper",28061,MS,Mississippi,Jasper,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),1820,0,11929
Fiscal Year,0,2019,0,"",0,2019-01-01,"Mississippi, Jefferson Davis",28065,MS,Mississippi,Jefferson Davis,Federal,Onshore,Federal Onshore,County,County,"",Oil,Oil (bbl),89,0,11930
Fiscal Year,0,2019,0,"",0,2019-01-01,"Mississippi, Jefferson Davis",28065,MS,Mississippi,Jefferson Davis,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),6466,0,11931
Fiscal Year,0,2019,0,"",0,2019-01-01,"Mississippi, Jones",28067,MS,Mississippi,Jones,Federal,Onshore,Federal Onshore,County,County,"",Oil,Oil (bbl),626,0,11932
Fiscal Year,0,2019,0,"",0,2019-01-01,"Mississippi, Jones",28067,MS,Mississippi,Jones,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),5229,0,11933
Fiscal Year,0,2019,0,"",0,2019-01-01,"Mississippi, Monroe",28095,MS,Mississippi,Monroe,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),20968,0,11934
Fiscal Year,0,2019,0,"",0,2019-01-01,"Mississippi, Pearl River",28109,MS,Mississippi,Pearl River,Federal,Onshore,Federal Onshore,County,County,"",Oil,Oil (bbl),2497,0,11935
Fiscal Year,0,2019,0,"",0,2019-01-01,"Mississippi, Pearl River",28109,MS,Mississippi,Pearl River,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),13706,0,11936
Fiscal Year,0,2019,0,"",0,2019-01-01,"Mississippi, Perry",28111,MS,Mississippi,Perry,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),13673,0,11937
Fiscal Year,0,2019,0,"",0,2019-01-01,"Mississippi, Perry",28111,MS,Mississippi,Perry,Federal,Onshore,Federal Onshore,County,County,"",Oil,Oil (bbl),109941,0,11938
Fiscal Year,0,2019,0,"",0,2019-01-01,"Mississippi, Smith",28129,MS,Mississippi,Smith,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),11831,0,11939
Fiscal Year,0,2019,0,"",0,2019-01-01,"Mississippi, Smith",28129,MS,Mississippi,Smith,Federal,Onshore,Federal Onshore,County,County,"",Oil,Oil (bbl),14562,0,11940
Fiscal Year,0,2019,0,"",0,2019-01-01,"Mississippi, Wayne",28153,MS,Mississippi,Wayne,Federal,Onshore,Federal Onshore,County,County,"",Gas,Gas (mcf),1607,0,11941
