Date,Calendar Year,Corporate Name,Revenue Agency Type,Revenue Agency,Revenue Type,Commodity,Revenue
01/01/2018,2018,"COMPANIES BELOW $100,000 THRESHOLD",ONRR/BLM - Rents,ONRR/BLM,Rents,Phosphate,23865.00
01/01/2018,2018,"COMPANIES BELOW $100,000 THRESHOLD",ONRR/BLM - Rents,ONRR/BLM,Rents,Sodium,3526.00
01/01/2018,2018,"COMPANIES BELOW $100,000 THRESHOLD",ONRR/BLM - Rents,ONRR/BLM,Rents,Wind,88278.00
01/01/2018,2018,CONOCOPHILLIPS,ONRR - Other Revenues,ONRR,Other Revenues,N/A,1010.33
01/01/2018,2018,CONOCOPHILLIPS,ONRR - Royalties,ONRR,Royalties,Other Commodities,47553.33
01/01/2018,2018,"COMPANIES BELOW $100,000 THRESHOLD",ONRR - Royalties,ONRR,Royalties,Gas,7789613.14
01/01/2018,2018,CONCHO RESOURCES INC,ONRR - Royalties,ONRR,Royalties,Gas,36792673.89
01/01/2018,2018,CONOCOPHILLIPS,ONRR - Royalties,ONRR,Royalties,Gas,15410233.22
01/01/2018,2018,"COMPANIES BELOW $100,000 THRESHOLD",BLM - Permit Fees,BLM,Permit Fees,Oil & Gas,4552541.45
01/01/2018,2018,"COMPANIES BELOW $100,000 THRESHOLD",ONRR - Inspection Fees,ONRR,Inspection Fees,Oil & Gas,355988.75
01/01/2018,2018,"COMPANIES BELOW $100,000 THRESHOLD",ONRR - Other Revenues,ONRR,Other Revenues,Oil & Gas,3223760.67
01/01/2018,2018,"COMPANIES BELOW $100,000 THRESHOLD",BLM - Permit Fees,BLM,Permit Fees,Coal,119251.51
01/01/2018,2018,"COMPANIES BELOW $100,000 THRESHOLD",ONRR - Other Revenues,ONRR,Other Revenues,Coal,82186.64
01/01/2018,2018,"COMPANIES BELOW $100,000 THRESHOLD",ONRR - Royalties,ONRR,Royalties,Coal,1637598.10
01/01/2018,2018,"COMPANIES BELOW $100,000 THRESHOLD",ONRR/BLM - Bonus,ONRR/BLM,Bonus,Coal,19200.00
01/01/2018,2018,"COMPANIES BELOW $100,000 THRESHOLD",ONRR/BLM - Rents,ONRR/BLM,Rents,Coal,97270.94
01/01/2018,2018,"COMPANIES BELOW $100,000 THRESHOLD",OSMRE - AML Fees including Audits and Late Charges ,OSMRE,AML Fees including Audits and Late Charges ,Coal,5692097.30
01/01/2018,2018,"COMPANIES BELOW $100,000 THRESHOLD",OSMRE - Civil Penalties including Late Charges,OSMRE,Civil Penalties including Late Charges,Coal,4054.87
01/01/2018,2018,CONTANGO OIL & GAS CO,ONRR - Civil Penalties,ONRR,Civil Penalties,N/A,38100.00
01/01/2018,2018,CONTINENTAL MINERAL CLAIMS INC,BLM - Permit Fees,BLM,Permit Fees,Locatable Minerals,150345.00
01/01/2018,2018,CONTINENTAL RESOURCES INC,ONRR - Other Revenues,ONRR,Other Revenues,N/A,243.00
01/01/2018,2018,CORTEZ JOINT VENTURE,BLM - Permit Fees,BLM,Permit Fees,Locatable Minerals,877100.00
01/01/2018,2018,CORVUS GOLD NEVADA INC,BLM - Permit Fees,BLM,Permit Fees,Locatable Minerals,287622.00
01/01/2018,2018,COUGAR GOLD LLC,BLM - Permit Fees,BLM,Permit Fees,Locatable Minerals,152675.00
01/01/2018,2018,COVADA LLC,BLM - Permit Fees,BLM,Permit Fees,Locatable Minerals,156602.00
01/01/2018,2018,COX OPERATING LLC,ONRR - Civil Penalties,ONRR,Civil Penalties,N/A,274200.00
01/01/2018,2018,CRESCENT POINT ENERGY CORP,ONRR - Other Revenues,ONRR,Other Revenues,N/A,729.00
