Date,Fund Type,Local Recipient,Recipient,Source,Land Category,State,County,FIPS Code,Revenue Type,Disbursement
10/01/2018,State,State,State and local governments,Onshore,Onshore,North Carolina,"","",Royalties,-39.5
10/01/2018,State,State,State and local governments,Onshore,Onshore,North Carolina,"","",Rents & Bonuses,39.5
10/01/2018,State,State,State and local governments,Onshore,Onshore,Nevada,"","",Sequestration,238654.20
10/01/2018,State,State,State and local governments,Onshore,Onshore,Nevada,"","",Royalties,-10767.54
10/01/2018,State,State,State and local governments,Onshore,Onshore,Nevada,"","",Other Distributions,44.56
10/01/2018,State,State,State and local governments,Onshore,Onshore,Nevada,"","",Royalties,34771.98
10/01/2018,State,State,State and local governments,Onshore,Onshore,Nevada,"","",Other Distributions,260
10/01/2018,State,State,State and local governments,Onshore,Onshore,Nevada,"","",Rents & Bonuses,38539.95
10/01/2018,State,State,State and local governments,Onshore,Onshore,Nevada,"","",Royalties,305317.74
10/01/2018,State,State,State and local governments,Onshore,Onshore,Nevada,"","",Other Distributions,8985.00
10/01/2018,State,State,State and local governments,Onshore,Onshore,Nevada,"","",Rents & Bonuses,150502.31
10/01/2018,State,State,State and local governments,Onshore,Onshore,Arizona,"","",Sequestration,609
10/01/2018,State,State,State and local governments,Onshore,Onshore,Oklahoma,"","",Sequestration,203275.24
10/01/2018,State,State,State and local governments,Onshore,Onshore,Oklahoma,"","",Royalties,-7929.26
10/01/2018,State,State,State and local governments,Onshore,Onshore,Oklahoma,"","",Other Distributions,2185.49
10/01/2018,State,State,State and local governments,Onshore,Onshore,Oklahoma,"","",Royalties,201307.18
10/01/2018,State,State,State and local governments,Onshore,Onshore,Oklahoma,"","",Other Distributions,27792.64
10/01/2018,State,State,State and local governments,Onshore,Onshore,Oklahoma,"","",Rents & Bonuses,-2112.10
10/01/2018,State,State,State and local governments,Onshore,Onshore,Oklahoma,"","",Other Distributions,9.83
10/01/2018,State,State,State and local governments,Onshore,Onshore,Oklahoma,"","",Rents & Bonuses,-2.14
10/01/2018,State,County,State and local governments,Onshore,Onshore,California,Sonoma,"06097",Rents & Bonuses,1111.75
10/01/2018,State,County,State and local governments,Onshore,Onshore,California,Sonoma,"06097",Royalties,109867.00
10/01/2018,State,County,State and local governments,Onshore,Onshore,California,Sonoma,"06097",Sequestration,67177.95
10/01/2018,State,County,State and local governments,Onshore,Onshore,Nevada,Lyon,"32019",Sequestration,704.94
10/01/2018,State,County,State and local governments,Onshore,Onshore,Nevada,Lyon,"32019",Royalties,229.32
10/01/2018,State,County,State and local governments,Onshore,Onshore,Idaho,Washington,"16087",Sequestration,1098.60
10/01/2018,State,County,State and local governments,Onshore,Onshore,Nevada,Lander,"32015",Rents & Bonuses,12332.92
10/01/2018,State,State,State and local governments,Onshore,Onshore,California,"","",Rents & Bonuses,8022.50
10/01/2018,State,State,State and local governments,Onshore,Onshore,California,"","",Royalties,461869.58
10/01/2018,State,State,State and local governments,Onshore,Onshore,California,"","",Royalties,57539.25
10/01/2018,State,State,State and local governments,Onshore,Onshore,California,"","",Rents & Bonuses,-649.5
10/01/2018,State,State,State and local governments,Onshore,Onshore,California,"","",Other Distributions,-1870.36
10/01/2018,State,State,State and local governments,Onshore,Onshore,California,"","",Royalties,493416.60
10/01/2018,State,State,State and local governments,Onshore,Onshore,California,"","",Rents & Bonuses,8246.00
10/01/2018,State,State,State and local governments,Onshore,Onshore,California,"","",Other Distributions,7352.61
10/01/2018,State,State,State and local governments,Onshore,Onshore,California,"","",Royalties,3083814.57
10/01/2018,State,State,State and local governments,Onshore,Onshore,California,"","",Other Distributions,0.14
10/01/2018,State,State,State and local governments,Onshore,Onshore,California,"","",Royalties,-82354.82
10/01/2018,State,State,State and local governments,Onshore,Onshore,California,"","",Sequestration,2513403.45
10/01/2018,Land & Water Conservation Fund,Land and Water Conservation Fund,Land and Water Conservation Fund,GOMESA offshore,Offshore,"","","",Royalties,427064.68
10/01/2018,State,County,State and local governments,Onshore,Onshore,Nevada,Lander,"32015",Other Distributions,311.25
10/01/2018,U.S. Treasury,U.S. Treasury,U.S. Treasury,Offshore,Offshore,"","","",Other Distributions,548.49
10/01/2018,U.S. Treasury,U.S. Treasury,U.S. Treasury,GOMESA offshore,Offshore,"","","",Royalties,1708260.00
10/01/2018,U.S. Treasury,U.S. Treasury,U.S. Treasury,Offshore,Offshore,"","","",Royalties,33290073.26
10/01/2018,U.S. Treasury,U.S. Treasury,U.S. Treasury,Offshore,Offshore,"","","",Rents & Bonuses,86679.33
10/01/2018,Land & Water Conservation Fund,Land and Water Conservation Fund,Land and Water Conservation Fund,GOMESA offshore,Offshore,"","","",Royalties,-370252.11
10/01/2018,Bureau of Safety & Environmental Enforcement,"",Other funds,Offshore,Offshore,"","","",Rents & Bonuses,1733821.70
10/01/2018,State,State,State and local governments,Onshore,Onshore,Oklahoma,"","",Royalties,203196.68
10/01/2018,State,State,State and local governments,Onshore,Onshore,Oklahoma,"","",Royalties,0.24
10/01/2018,State,County,State and local governments,Onshore,Onshore,Nevada,Lander,"32015",Royalties,18235.94
10/01/2018,State,County,State and local governments,Onshore,Onshore,Nevada,Lander,"32015",Sequestration,16603.04
10/01/2018,State,County,State and local governments,Onshore,Onshore,Nevada,Nye,"32023",Sequestration,25.74
10/01/2018,State,State,State and local governments,Onshore,Onshore,North Dakota,"","",Royalties,476851.18
10/01/2018,State,State,State and local governments,Onshore,Onshore,North Dakota,"","",Other Distributions,209667.40
10/01/2018,State,State,State and local governments,Onshore,Onshore,Mississippi,"","",Royalties,762.95
10/01/2018,State,State,State and local governments,Onshore,Onshore,Mississippi,"","",Rents & Bonuses,1273.00
10/01/2018,State,State,State and local governments,Onshore,Onshore,Mississippi,"","",Other Distributions,1385.97
10/01/2018,State,State,State and local governments,Onshore,Onshore,Mississippi,"","",Royalties,48384.58
10/01/2018,State,State,State and local governments,Onshore,Onshore,Mississippi,"","",Royalties,-6.45
10/01/2018,State,State,State and local governments,Onshore,Onshore,Mississippi,"","",Sequestration,-1606.98
10/01/2018,State,State,State and local governments,Onshore,Onshore,South Carolina,"","",Sequestration,-51.62
10/01/2018,State,State,State and local governments,Onshore,Onshore,South Carolina,"","",Other Distributions,832.5
