Fiscal Year,Fund Type,Source,State,Disbursement
1986,State and local governments,Offshore,Alabama,"$66,182,540.00 "
1986,State and local governments,Onshore,Alabama,"$251,605.00 "
1986,State and local governments,Offshore,Alaska,"$51,438,090.00 "
1986,State and local governments,Onshore,Alaska,"$18,142,626.00 "
1986,State and local governments,Onshore,Arizona,"$723,395.00 "
1986,State and local governments,Onshore,Arkansas,"$624,047.00 "
1986,State and local governments,Offshore,California,"$338,217,446.00 "
1986,State and local governments,Onshore,California,"$33,079,724.00 "
1986,State and local governments,Onshore,Colorado,"$41,847,027.00 "
1986,State and local governments,Offshore,Florida,"$30,000.00 "
1986,State and local governments,Onshore,Florida,"$90,707.00 "
1986,State and local governments,Onshore,Idaho,"$2,106,442.00 "
1986,State and local governments,Onshore,Kansas,"$873,835.00 "
1986,State and local governments,Offshore,Louisiana,"$68,699,504.00 "
1986,State and local governments,Onshore,Louisiana,"$555,206.00 "
1986,State and local governments,Onshore,Michigan,"$40,202.00 "
1986,State and local governments,Onshore,Minnesota,"$3,096.00 "
1986,State and local governments,Offshore,Mississippi,"$14,012,017.00 "
1986,State and local governments,Onshore,Mississippi,"$513,093.00 "
1986,State and local governments,Onshore,Montana,"$17,997,756.00 "
1986,State and local governments,Onshore,Nebraska,"$268,593.00 "
1986,State and local governments,Onshore,Nevada,"$7,020,241.00 "
1986,State and local governments,Onshore,New Mexico,"$107,312,788.00 "
1986,State and local governments,Onshore,North Dakota,"$7,440,986.00 "
1986,State and local governments,Onshore,Ohio,$161.00 
1986,State and local governments,Onshore,Oklahoma,"$2,591,665.00 "
1986,State and local governments,Onshore,Oregon,"$1,213,203.00 "
1986,State and local governments,Onshore,South Dakota,"$984,728.00 "
1986,State and local governments,Onshore,Tennessee,$50.00 
1986,State and local governments,Offshore,Texas,"$427,606,860.00 "
1986,State and local governments,Onshore,Texas,"$9,268.00 "
1986,State and local governments,Onshore,Utah,"$27,573,610.00 "
1986,State and local governments,Onshore,Washington,"$325,804.00 "
1986,State and local governments,Onshore,Wisconsin,$153.00 
1986,State and local governments,Onshore,Wyoming,"$152,872,316.00 "
1986,U.S. Treasury & Other Government Agencies,,,"$4,983,055,000.00 "
1987,Historic Preservation Fund,Offshore,,"$150,000,000.00 "
1987,Land and Water Conservation Fund,Offshore,,"$823,576,000.00 "
1987,Native American tribes and individuals,Onshore,,"$100,499,000.00 "
1987,Reclamation Fund,Onshore,,"$265,294,000.00 "
1987,State and local governments,Offshore,Alabama,"$276,188.00 "
1987,State and local governments,Onshore,Alabama,"$151,515.00 "
1987,State and local governments,Offshore,Alaska,"$4,420,730.00 "
1987,State and local governments,Onshore,Alaska,"$13,044,399.00 "
1987,State and local governments,Onshore,Arizona,"$528,930.00 "
1987,State and local governments,Onshore,Arkansas,"$308,996.00 "
1987,State and local governments,Offshore,California,"$9,428,815.00 "
1987,State and local governments,Onshore,California,"$27,829,366.00 "
1987,State and local governments,Onshore,Colorado,"$37,032,671.00 "
1987,State and local governments,Onshore,Florida,"$27,459.00 "
1987,State and local governments,Onshore,Idaho,"$1,364,160.00 "
1987,State and local governments,Onshore,Kansas,"$1,358,430.00 "
1987,State and local governments,Offshore,Louisiana,"$588,862,212.00 "
1987,State and local governments,Onshore,Louisiana,"$516,828.00 "
1987,State and local governments,Onshore,Michigan,"$56,159.00 "
1987,State and local governments,Onshore,Minnesota,"$2,565.00 "
1987,State and local governments,Offshore,Mississippi,"$76,200.00 "
1987,State and local governments,Onshore,Mississippi,"$184,315.00 "
1987,State and local governments,Onshore,Montana,"$27,406,935.00 "
1987,State and local governments,Onshore,Nebraska,"$169,888.00 "
1987,State and local governments,Onshore,Nevada,"$5,135,971.00 "
1987,State and local governments,Onshore,New Mexico,"$75,477,768.00 "
1987,State and local governments,Onshore,North Dakota,"$6,814,389.00 "
1987,State and local governments,Onshore,Ohio,$201.00 
1987,State and local governments,Onshore,Oklahoma,"$1,596,185.00 "
1987,State and local governments,Onshore,Oregon,"$687,310.00 "
1987,State and local governments,Onshore,South Dakota,"$905,386.00 "
1987,State and local governments,Onshore,Tennessee,$181.00 
1987,State and local governments,Offshore,Texas,"$10,018,879.00 "
1987,State and local governments,Onshore,Texas,"$7,229.00 "
1987,State and local governments,Onshore,Utah,"$24,235,356.00 "
1987,State and local governments,Onshore,Virginia,"$17,910.00 "
1987,State and local governments,Onshore,Washington,"$280,216.00 "
1987,State and local governments,Onshore,Wisconsin,$528.00 
1987,State and local governments,Onshore,Wyoming,"$151,888,990.00 "
1987,U.S. Treasury & Other Government Agencies,,,"$4,030,979,000.00 "
1988,Historic Preservation Fund,Offshore,,"$150,000,000.00 "
1988,Land and Water Conservation Fund,Offshore,,"$859,761,000.00 "
1988,Native American tribes and individuals,Onshore,,"$125,351,000.00 "
1988,Reclamation Fund,Onshore,,"$317,505,000.00 "
1988,State and local governments,Offshore,Alabama,"$280,646.00 "
1988,State and local governments,Onshore,Alabama,"$88,558.00 "
1988,State and local governments,Offshore,Alaska,"$329,000,637.00 "
1988,State and local governments,Onshore,Alaska,"$8,042,549.00 "
1988,State and local governments,Onshore,Arizona,"$386,557.00 "
1988,State and local governments,Onshore,Arkansas,"$517,271.00 "
1988,State and local governments,Offshore,California,"$10,918,562.00 "
1988,State and local governments,Onshore,California,"$25,526,406.00 "
1988,State and local governments,Onshore,Colorado,"$31,176,322.00 "
1988,State and local governments,Offshore,Florida,$419.00 
1988,State and local governments,Onshore,Florida,"$3,669.00 "
1988,State and local governments,Onshore,Idaho,"$2,339,901.00 "
1988,State and local governments,Onshore,Kansas,"$928,711.00 "
1988,State and local governments,Offshore,Louisiana,"$16,909,646.00 "
1988,State and local governments,Onshore,Louisiana,"$545,535.00 "
1988,State and local governments,Onshore,Michigan,"$172,611.00 "
1988,State and local governments,Onshore,Minnesota,"$1,685.00 "
1988,State and local governments,Offshore,Mississippi,"$74,194.00 "
1988,State and local governments,Onshore,Mississippi,"$104,330.00 "
1988,State and local governments,Onshore,Montana,"$26,068,304.00 "
1988,State and local governments,Onshore,Nebraska,"$156,351.00 "
1988,State and local governments,Onshore,Nevada,"$6,266,221.00 "
1988,State and local governments,Onshore,New Mexico,"$91,698,096.00 "
1988,State and local governments,Onshore,North Dakota,"$5,737,716.00 "
1988,State and local governments,Onshore,Ohio,$30.00 
1988,State and local governments,Onshore,Oklahoma,"$1,620,561.00 "
1988,State and local governments,Onshore,Oregon,"$565,060.00 "
1988,State and local governments,Onshore,South Dakota,"$821,633.00 "
1988,State and local governments,Onshore,Tennessee,$178.00 
1988,State and local governments,Offshore,Texas,"$12,878,858.00 "
1988,State and local governments,Onshore,Texas,"$7,591.00 "
1988,State and local governments,Onshore,Utah,"$30,623,731.00 "
1988,State and local governments,Onshore,Virginia,"$17,910.00 "
1988,State and local governments,Onshore,Washington,"$231,977.00 "
1988,State and local governments,Onshore,Wisconsin,$753.00 
1988,State and local governments,Onshore,Wyoming,"$163,907,624.00 "
1988,U.S. Treasury & Other Government Agencies,,,"$2,627,721,000.00 "
1989,Historic Preservation Fund,Offshore,,"$150,000,000.00 "
1989,Land and Water Conservation Fund,Offshore,,"$862,761,000.00 "
1989,Native American tribes and individuals,Onshore,,"$121,954,000.00 "
1989,Reclamation Fund,Onshore,,"$337,865,000.00 "
1989,State and local governments,Offshore,Alabama,"$617,057.00 "
1989,State and local governments,Onshore,Alabama,"$220,495.00 "
1989,State and local governments,Offshore,Alaska,"$4,467,428.00 "
1989,State and local governments,Onshore,Alaska,"$9,428,518.00 "
1989,State and local governments,Onshore,Arizona,"$241,713.00 "
1989,State and local governments,Onshore,Arkansas,"$7,775,387.00 "
1989,State and local governments,Offshore,California,"$10,803,698.00 "
1989,State and local governments,Onshore,California,"$24,412,448.00 "
1989,State and local governments,Onshore,Colorado,"$32,615,698.00 "
