Calendar Year,Land Category,State,Offshore Region,Revenue Type,Commodity,Revenue
1984,Onshore,Nevada,,Royalty,Other,"$111,903.00 "
1984,Onshore,New Mexico,,Bonus,,"$11,380,651.00 "
1984,Onshore,New Mexico,,Royalty,Coal,"$13,044,826.00 "
1984,Onshore,New Mexico,,Royalty,Gas,"$190,961,221.00 "
1984,Onshore,New Mexico,,Royalty,Oil,"$72,711,965.00 "
1984,Onshore,New Mexico,,Royalty,Other,"$15,156,178.00 "
1984,Onshore,North Dakota,,Bonus,,"$314,494.00 "
1984,Onshore,North Dakota,,Royalty,Coal,"$1,894,923.00 "
1984,Onshore,North Dakota,,Royalty,Gas,"$4,968,383.00 "
1984,Onshore,North Dakota,,Royalty,Oil,"$48,301,994.00 "
1984,Onshore,North Dakota,,Royalty,Other,"$1,381,757.00 "
1984,Onshore,Ohio,,Bonus,,"$9,339.00 "
1984,Onshore,Ohio,,Royalty,Gas,"$14,316.00 "
1984,Onshore,Ohio,,Royalty,Oil,"$8,229.00 "
1984,Onshore,Oklahoma,,Bonus,,"$426,207.00 "
1984,Onshore,Oklahoma,,Royalty,Coal,"$112,157.00 "
1984,Onshore,Oklahoma,,Royalty,Gas,"$22,580,143.00 "
1984,Onshore,Oklahoma,,Royalty,Oil,"$16,785,997.00 "
1984,Onshore,Oklahoma,,Royalty,Other,"$251,377.00 "
1984,Onshore,Oregon,,Bonus,,"$41,896.00 "
1984,Onshore,South Dakota,,Bonus,,"$83,221.00 "
1984,Onshore,South Dakota,,Royalty,Gas,"$72,499.00 "
1984,Onshore,South Dakota,,Royalty,Oil,"$1,253,474.00 "
1984,Onshore,Texas,,Bonus,,"$20,498.00 "
1984,Onshore,Texas,,Royalty,Gas,"$699,747.00 "
1984,Onshore,Texas,,Royalty,Oil,"$627,111.00 "
1984,Onshore,Texas,,Royalty,Other,"$26,481.00 "
1984,Onshore,Utah,,Bonus,,"$1,988,179.00 "
1984,Onshore,Utah,,Royalty,Coal,"$7,588,067.00 "
1984,Onshore,Utah,,Royalty,Gas,"$20,203,393.00 "
1984,Onshore,Utah,,Royalty,Oil,"$59,998,566.00 "
1984,Onshore,Utah,,Royalty,Other,"$3,709,274.00 "
1984,Onshore,Virginia,,Royalty,Coal,"$99,525.00 "
1984,Onshore,Washington,,Royalty,Coal,"$167,295.00 "
1984,Onshore,Washington,,Royalty,Other,"$20,356.00 "
1984,Onshore,Wyoming,,Bonus,,"$22,396,745.00 "
1984,Onshore,Wyoming,,Royalty,Coal,"$23,449,891.00 "
1984,Onshore,Wyoming,,Royalty,Gas,"$123,392,112.00 "
1984,Onshore,Wyoming,,Royalty,Oil,"$256,980,762.00 "
1984,Onshore,Wyoming,,Royalty,Other,"$13,131,605.00 "
1985,Offshore,,Alaska,Other Revenues,,"$112,088.00 "
1985,Offshore,,Alaska,Rent,,"$11,603,554.00 "
1985,Offshore,,Atlantic,Rent,,"$2,359,296.00 "
1985,Offshore,,Gulf,Bonus,,"$1,490,979,514.00 "
1985,Offshore,,Gulf,Other Revenues,,"$3,503,448.00 "
1985,Offshore,,Gulf,Rent,,"$45,907,892.00 "
1985,Offshore,,Gulf,Royalty,Gas,"$1,879,921,629.00 "
1985,Offshore,,Gulf,Royalty,Oil,"$1,584,127,925.00 "
1985,Offshore,,Gulf,Royalty,Other,"$26,012,381.00 "
1985,Offshore,,Pacific,Other Revenues,,"$451,785.00 "
1985,Offshore,,Pacific,Rent,,"$1,995,694.00 "
1985,Offshore,,Pacific,Royalty,Gas,"$25,676,251.00 "
1985,Offshore,,Pacific,Royalty,Oil,"$123,056,974.00 "
1985,Offshore,,Pacific,Royalty,Other,"$18,216.00 "
1985,Onshore,Alabama,,Bonus,,"$32,645.00 "
1985,Onshore,Alabama,,Other Revenues,,"$16,042.00 "
1985,Onshore,Alabama,,Rent,,"$326,529.00 "
1985,Onshore,Alabama,,Royalty,Gas,"$99,004.00 "
1985,Onshore,Alabama,,Royalty,Oil,"$169,282.00 "
1985,Onshore,Alabama,,Royalty,Other,"$1,731.00 "
1985,Onshore,Alaska,,Bonus,,"$5,529,228.00 "
1985,Onshore,Alaska,,Other Revenues,,"$1,683.00 "
1985,Onshore,Alaska,,Rent,,"$5,969,216.00 "
1985,Onshore,Alaska,,Royalty,Gas,"$10,918,247.00 "
1985,Onshore,Alaska,,Royalty,Oil,"$5,004,348.00 "
1985,Onshore,Alaska,,Royalty,Other,"$181,942.00 "
1985,Onshore,Arizona,,Other Revenues,,"$1,443.00 "
1985,Onshore,Arizona,,Rent,,"$1,791,405.00 "
1985,Onshore,Arizona,,Royalty,Coal,"$8,551,697.00 "
1985,Onshore,Arizona,,Royalty,Gas,"$3,234.00 "
1985,Onshore,Arizona,,Royalty,Oil,"$748,948.00 "
1985,Onshore,Arizona,,Royalty,Other,"$909,346.00 "
1985,Onshore,Arkansas,,Bonus,,"$257,485.00 "
1985,Onshore,Arkansas,,Other Revenues,,"$41,639.00 "
1985,Onshore,Arkansas,,Rent,,"$1,108,615.00 "
1985,Onshore,Arkansas,,Royalty,Gas,"$2,317,457.00 "
1985,Onshore,Arkansas,,Royalty,Oil,"$1,903.00 "
1985,Onshore,Arkansas,,Royalty,Other,"$1,416.00 "
1985,Onshore,California,,Bonus,,"$2,293,625.00 "
1985,Onshore,California,,Other Revenues,,"$5,505.00 "
1985,Onshore,California,,Rent,,"$2,997,766.00 "
1985,Onshore,California,,Royalty,Gas,"$4,041,505.00 "
1985,Onshore,California,,Royalty,Oil,"$55,194,237.00 "
1985,Onshore,California,,Royalty,Other,"$19,456,414.00 "
1985,Onshore,Colorado,,Bonus,,"$419,637.00 "
1985,Onshore,Colorado,,Other Revenues,,"$395,922.00 "
1985,Onshore,Colorado,,Rent,,"$9,633,633.00 "
