Date,Land Class,Land Category,Commodity,Volume
07/01/2004,Federal,Onshore,Coal Prod Vol (tons),38767113
07/01/2004,Federal,Offshore,Gas Prod Vol (mcf),361432226
07/01/2004,Federal,Offshore,Oil Prod Vol (bbl),53256723
07/01/2004,Native American,Onshore,Coal Prod Vol (tons),2257866
07/01/2004,Native American,Onshore,Oil Prod Vol (bbl),953410
08/01/2004,Federal,Offshore,Gas Prod Vol (mcf),354075389
08/01/2004,Native American,Onshore,Coal Prod Vol (tons),2860888
08/01/2004,Native American,Onshore,Oil Prod Vol (bbl),972219
08/01/2004,Native American,Onshore,Gas Prod Vol (mcf),30054747
08/01/2004,Federal,Onshore,Gas Prod Vol (mcf),265941892
08/01/2004,Federal,Onshore,Oil Prod Vol (bbl),7875666
08/01/2004,Federal,Offshore,Oil Prod Vol (bbl),51092432
08/01/2004,Federal,Onshore,Coal Prod Vol (tons),39475725
09/01/2004,Federal,Onshore,Gas Prod Vol (mcf),262329863
09/01/2004,Federal,Onshore,Coal Prod Vol (tons),39930106
09/01/2004,Native American,Onshore,Coal Prod Vol (tons),3098376
09/01/2004,Native American,Onshore,Gas Prod Vol (mcf),29006099
09/01/2004,Native American,Onshore,Oil Prod Vol (bbl),961664
09/01/2004,Federal,Offshore,Gas Prod Vol (mcf),280775631
09/01/2004,Federal,Offshore,Oil Prod Vol (bbl),37946564
09/01/2004,Federal,Onshore,Oil Prod Vol (bbl),7616229
10/01/2004,Federal,Onshore,Coal Prod Vol (tons),39677776
10/01/2004,Federal,Onshore,Gas Prod Vol (mcf),275374870
10/01/2004,Federal,Onshore,Oil Prod Vol (bbl),7910922
10/01/2004,Federal,Offshore,Gas Prod Vol (mcf),303926329
10/01/2004,Native American,Onshore,Coal Prod Vol (tons),2834810
10/01/2004,Native American,Onshore,Oil Prod Vol (bbl),988503
10/01/2004,Native American,Onshore,Gas Prod Vol (mcf),30287763
10/01/2004,Federal,Offshore,Oil Prod Vol (bbl),39371415
11/01/2004,Native American,Onshore,Gas Prod Vol (mcf),29787370
11/01/2004,Federal,Onshore,Coal Prod Vol (tons),38363559
11/01/2004,Federal,Onshore,Oil Prod Vol (bbl),7765513
11/01/2004,Federal,Onshore,Gas Prod Vol (mcf),269673885
11/01/2004,Native American,Onshore,Oil Prod Vol (bbl),977566
11/01/2004,Native American,Onshore,Coal Prod Vol (tons),2481476
11/01/2004,Federal,Offshore,Oil Prod Vol (bbl),45004237
11/01/2004,Federal,Offshore,Gas Prod Vol (mcf),313078854
12/01/2004,Federal,Onshore,Gas Prod Vol (mcf),278075932
12/01/2004,Federal,Onshore,Oil Prod Vol (bbl),7920137
12/01/2004,Native American,Onshore,Oil Prod Vol (bbl),1012682
12/01/2004,Native American,Onshore,Gas Prod Vol (mcf),30321591
12/01/2004,Federal,Offshore,Gas Prod Vol (mcf),309817091
12/01/2004,Federal,Offshore,Oil Prod Vol (bbl),48642160
12/01/2004,Federal,Onshore,Coal Prod Vol (tons),38672407
12/01/2004,Native American,Onshore,Coal Prod Vol (tons),3016398
01/01/2005,Native American,Onshore,Coal Prod Vol (tons),2861003
01/01/2005,Native American,Onshore,Oil Prod Vol (bbl),974942
01/01/2005,Native American,Onshore,Gas Prod Vol (mcf),29805926
01/01/2005,Federal,Offshore,Gas Prod Vol (mcf),316500854
01/01/2005,Federal,Offshore,Oil Prod Vol (bbl),48966432
01/01/2005,Federal,Onshore,Gas Prod Vol (mcf),278323624
01/01/2005,Federal,Onshore,Oil Prod Vol (bbl),7835814
01/01/2005,Federal,Onshore,Coal Prod Vol (tons),37597569
02/01/2005,Federal,Offshore,Oil Prod Vol (bbl),44114557
02/01/2005,Federal,Onshore,Oil Prod Vol (bbl),7126685
02/01/2005,Federal,Onshore,Coal Prod Vol (tons),37757279
02/01/2005,Federal,Offshore,Gas Prod Vol (mcf),293032684
02/01/2005,Native American,Onshore,Gas Prod Vol (mcf),26765439
02/01/2005,Native American,Onshore,Oil Prod Vol (bbl),901934
02/01/2005,Native American,Onshore,Coal Prod Vol (tons),2737327
02/01/2005,Federal,Onshore,Gas Prod Vol (mcf),249874639
03/01/2005,Federal,Onshore,Gas Prod Vol (mcf),273411982
03/01/2005,Native American,Onshore,Gas Prod Vol (mcf),29856740
03/01/2005,Federal,Offshore,Gas Prod Vol (mcf),330982305
03/01/2005,Federal,Offshore,Oil Prod Vol (bbl),51150208
03/01/2005,Native American,Onshore,Oil Prod Vol (bbl),988356
03/01/2005,Native American,Onshore,Coal Prod Vol (tons),2889277
03/01/2005,Federal,Onshore,Coal Prod Vol (tons),41971071
03/01/2005,Federal,Onshore,Oil Prod Vol (bbl),7843737
04/01/2005,Native American,Onshore,Coal Prod Vol (tons),2837532
04/01/2005,Federal,Offshore,Gas Prod Vol (mcf),320039593
04/01/2005,Federal,Onshore,Oil Prod Vol (bbl),7635740
04/01/2005,Native American,Onshore,Gas Prod Vol (mcf),28563032
04/01/2005,Federal,Offshore,Oil Prod Vol (bbl),49717757
04/01/2005,Native American,Onshore,Oil Prod Vol (bbl),936704
04/01/2005,Federal,Onshore,Coal Prod Vol (tons),37251010
04/01/2005,Federal,Onshore,Gas Prod Vol (mcf),263778331
05/01/2005,Native American,Onshore,Coal Prod Vol (tons),3099050
05/01/2005,Federal,Onshore,Coal Prod Vol (tons),33464857
05/01/2005,Federal,Onshore,Oil Prod Vol (bbl),7921423
05/01/2005,Federal,Onshore,Gas Prod Vol (mcf),272850906
05/01/2005,Native American,Onshore,Gas Prod Vol (mcf),29913298
05/01/2005,Native American,Onshore,Oil Prod Vol (bbl),989178
05/01/2005,Federal,Offshore,Oil Prod Vol (bbl),53029642
05/01/2005,Federal,Offshore,Gas Prod Vol (mcf),336761093
06/01/2005,Native American,Onshore,Coal Prod Vol (tons),2863100
06/01/2005,Federal,Onshore,Coal Prod Vol (tons),36088007
06/01/2005,Federal,Offshore,Gas Prod Vol (mcf),316761791
06/01/2005,Federal,Onshore,Gas Prod Vol (mcf),260974972
06/01/2005,Federal,Onshore,Oil Prod Vol (bbl),7619014
06/01/2005,Native American,Onshore,Oil Prod Vol (bbl),951450
06/01/2005,Federal,Offshore,Oil Prod Vol (bbl),49299410
06/01/2005,Native American,Onshore,Gas Prod Vol (mcf),29040938
07/01/2005,Native American,Onshore,Coal Prod Vol (tons),2402519
07/01/2005,Federal,Onshore,Coal Prod Vol (tons),38308089
07/01/2005,Federal,Offshore,Gas Prod Vol (mcf),301987683
07/01/2005,Federal,Offshore,Oil Prod Vol (bbl),47300842
07/01/2005,Federal,Onshore,Gas Prod Vol (mcf),270691142
07/01/2005,Federal,Onshore,Oil Prod Vol (bbl),7804738
07/01/2005,Native American,Onshore,Gas Prod Vol (mcf),29417322
07/01/2005,Native American,Onshore,Oil Prod Vol (bbl),983795
08/01/2005,Federal,Onshore,Gas Prod Vol (mcf),276770421
08/01/2005,Federal,Onshore,Coal Prod Vol (tons),37041753
