Calendar Year,Land Class,Land Category,State,County,FIPS Code,Offshore Region,Product,Volume
2003,Federal,Onshore,CA,San Joaquin,06077,,Gas (mcf),"4,886"
2003,Federal,Onshore,CA,San Luis Obispo,06079,,Gas (mcf),"2,937"
2003,Federal,Onshore,CA,San Luis Obispo,06079,,Oil (bbl),"14,545"
2003,Federal,Onshore,CA,Santa Barbara,06083,,Gas (mcf),"298,862"
2003,Federal,Onshore,CA,Santa Barbara,06083,,Oil (bbl),"127,792"
2003,Federal,Onshore,CA,Solano,06095,,Gas (mcf),"19,329,370"
2003,Federal,Onshore,CA,Solano,06095,,Oil (bbl),"18,391"
2003,Federal,Onshore,CA,Sonoma,06097,,Geothermal - electrical generation (thousands of pounds),"28,379,143"
2003,Federal,Onshore,CA,Ventura,06111,,Gas (mcf),"741,336"
2003,Federal,Onshore,CA,Ventura,06111,,Oil (bbl),"297,924"
2003,Federal,Onshore,CO,Arapahoe,08005,,Gas (mcf),31
2003,Federal,Onshore,CO,Arapahoe,08005,,Oil (bbl),31
2003,Federal,Onshore,CO,Archuleta,08007,,Gas (mcf),"3,163,431"
2003,Federal,Onshore,CO,Baca,08009,,Gas (mcf),"102,297"
2003,Federal,Onshore,CO,Baca,08009,,Oil (bbl),"46,217"
2003,Federal,Onshore,CO,Bent,08011,,Gas (mcf),"49,748"
2003,Federal,Onshore,CO,Bent,08011,,Oil (bbl),19
2003,Federal,Onshore,CO,Broomfield,08014,,Gas (mcf),7
2003,Federal,Onshore,CO,Cheyenne,08017,,Gas (mcf),"270,679"
2003,Federal,Onshore,CO,Cheyenne,08017,,Oil (bbl),"39,358"
2003,Federal,Onshore,CO,Delta,08029,,Coal (ton),"5,175,889"
2003,Federal,Onshore,CO,Delta,08029,,Gas (mcf),"51,150"
2003,Federal,Onshore,CO,Delta,08029,,Oil (bbl),45
2003,Federal,Onshore,CO,Dolores,08033,,Gas (mcf),"108,497,605"
2003,Federal,Onshore,CO,Dolores,08033,,Oil (bbl),"36,814"
2003,Federal,Onshore,CO,Fremont,08043,,Oil (bbl),37
2003,Federal,Onshore,CO,Garfield,08045,,Coal (ton),"284,432"
2003,Federal,Onshore,CO,Garfield,08045,,Gas (mcf),"42,278,527"
2003,Federal,Onshore,CO,Garfield,08045,,Oil (bbl),"132,111"
2003,Federal,Onshore,CO,Gunnison,08051,,Coal (ton),"7,251,044"
2003,Federal,Onshore,CO,Gunnison,08051,,Gas (mcf),"89,209"
2003,Federal,Onshore,CO,Gunnison,08051,,Oil (bbl),190
2003,Federal,Onshore,CO,Huerfano,08055,,Gas (mcf),"13,937,605"
2003,Federal,Onshore,CO,Jackson,08057,,Gas (mcf),"715,958"
2003,Federal,Onshore,CO,Jackson,08057,,Oil (bbl),"116,586"
2003,Federal,Onshore,CO,Kiowa,08061,,Gas (mcf),"12,492"
2003,Federal,Onshore,CO,Kiowa,08061,,Oil (bbl),"2,937"
2003,Federal,Onshore,CO,Kit Carson,08063,,Gas (mcf),43
2003,Federal,Onshore,CO,Kit Carson,08063,,Oil (bbl),32
2003,Federal,Onshore,CO,La Plata,08067,,Coal (ton),"336,565"
2003,Federal,Onshore,CO,La Plata,08067,,Gas (mcf),"13,006,309"
2003,Federal,Onshore,CO,La Plata,08067,,Oil (bbl),59
2003,Federal,Onshore,CO,Larimer,08069,,Gas (mcf),343
2003,Federal,Onshore,CO,Larimer,08069,,Oil (bbl),"1,288"
2003,Federal,Onshore,CO,Las Animas,08071,,Gas (mcf),"2,107,042"
2003,Federal,Onshore,CO,Logan,08075,,Gas (mcf),"1,440"
2003,Federal,Onshore,CO,Logan,08075,,Oil (bbl),"1,324"
2003,Federal,Onshore,CO,Mesa,08077,,Gas (mcf),"6,154,061"
2003,Federal,Onshore,CO,Mesa,08077,,Oil (bbl),"1,767"
2003,Federal,Onshore,CO,Moffat,08081,,Coal (ton),"6,001,688"
2003,Federal,Onshore,CO,Moffat,08081,,Gas (mcf),"16,329,706"
2003,Federal,Onshore,CO,Moffat,08081,,Oil (bbl),"249,397"
2003,Federal,Onshore,CO,Montezuma,08083,,Gas (mcf),"111,114,797"
2003,Federal,Onshore,CO,Montezuma,08083,,Oil (bbl),"313,796"
2003,Federal,Onshore,CO,Morgan,08087,,Oil (bbl),"1,114"
2003,Federal,Onshore,CO,Prowers,08099,,Gas (mcf),"9,959"
2003,Federal,Onshore,CO,Rio Blanco,08103,,Carbon dioxide (ton),"1,555"
2003,Federal,Onshore,CO,Rio Blanco,08103,,Coal (ton),"1,943,772"
2003,Federal,Onshore,CO,Rio Blanco,08103,,Gas (mcf),"49,834,764"
2003,Federal,Onshore,CO,Rio Blanco,08103,,Oil (bbl),"2,956,179"
2003,Federal,Onshore,CO,Rio Blanco,08103,,Soda ash (ton),"522,471"
2003,Federal,Onshore,CO,Rio Blanco,08103,,Sodium bi-carbonate (ton),"155,188"
2003,Federal,Onshore,CO,Routt,08107,,Coal (ton),"487,124"
2003,Federal,Onshore,CO,Routt,08107,,Gas (mcf),"14,241"
2003,Federal,Onshore,CO,Routt,08107,,Oil (bbl),"13,462"
2003,Federal,Onshore,CO,San Miguel,08113,,Gas (mcf),"19,329,461"
2003,Federal,Onshore,CO,San Miguel,08113,,Oil (bbl),"27,020"
2003,Federal,Onshore,CO,Washington,08121,,Gas (mcf),"92,860"
2003,Federal,Onshore,CO,Washington,08121,,Oil (bbl),"12,659"
2003,Federal,Onshore,CO,Weld,08123,,Gas (mcf),"2,585,589"
2003,Federal,Onshore,CO,Weld,08123,,Oil (bbl),"164,924"
2003,Federal,Onshore,CO,Yuma,08125,,Gas (mcf),"858,163"
2003,Federal,Onshore,FL,Polk,12105,,Phosphate raw ore (ton),"364,989"
2003,Federal,Onshore,FL,Santa Rosa,12113,,Gas (mcf),3
2003,Federal,Onshore,FL,Santa Rosa,12113,,Oil (bbl),52
2003,Federal,Onshore,ID,Caribou,16029,,Phosphate raw ore (ton),"4,557,857"
2003,Federal,Onshore,IL,Clinton,17027,,Gas (mcf),120
2003,Federal,Onshore,IL,Clinton,17027,,Oil (bbl),"25,223"
2003,Federal,Onshore,IL,Fayette,17051,,Oil (bbl),59
2003,Federal,Onshore,IL,Franklin,17055,,Gas (mcf),"7,565"
2003,Federal,Onshore,IL,Franklin,17055,,Oil (bbl),"14,618"
2003,Federal,Onshore,KS,Comanche,20033,,Gas (mcf),"8,870"
2003,Federal,Onshore,KS,Comanche,20033,,Oil (bbl),1
2003,Federal,Onshore,KS,Ellsworth,20053,,Gas (mcf),"26,369"
2003,Federal,Onshore,KS,Finney,20055,,Gas (mcf),"1,814,151"
2003,Federal,Onshore,KS,Finney,20055,,Oil (bbl),"22,925"
2003,Federal,Onshore,KS,Gove,20063,,Oil (bbl),"2,090"
2003,Federal,Onshore,KS,Grant,20067,,Gas (mcf),"202,766"
2003,Federal,Onshore,KS,Hamilton,20075,,Gas (mcf),"65,992"
2003,Federal,Onshore,KS,Haskell,20081,,Gas (mcf),"534,387"
2003,Federal,Onshore,KS,Haskell,20081,,Oil (bbl),"29,303"
2003,Federal,Onshore,KS,Kearny,20093,,Gas (mcf),"3,212,390"
2003,Federal,Onshore,KS,Kearny,20093,,Oil (bbl),"20,764"
2003,Federal,Onshore,KS,Lane,20101,,Oil (bbl),"5,511"
2003,Federal,Onshore,KS,Meade,20119,,Gas (mcf),"12,255"
2003,Federal,Onshore,KS,Meade,20119,,Oil (bbl),16
2003,Federal,Onshore,KS,Morton,20129,,Gas (mcf),"4,743,485"
2003,Federal,Onshore,KS,Morton,20129,,Oil (bbl),"31,732"
2003,Federal,Onshore,KS,Seward,20175,,Gas (mcf),"252,756"
2003,Federal,Onshore,KS,Seward,20175,,Oil (bbl),457
2003,Federal,Onshore,KS,Stanton,20187,,Gas (mcf),"58,410"
2003,Federal,Onshore,KS,Stevens,20189,,Gas (mcf),"524,887"
2003,Federal,Onshore,KS,Stevens,20189,,Oil (bbl),41
2003,Federal,Onshore,KS,Trego,20195,,Oil (bbl),"2,599"
2003,Federal,Onshore,KY,Clay,21051,,Gas (mcf),"46,604"
2003,Federal,Onshore,KY,Floyd,21071,,Gas (mcf),"14,813"
2003,Federal,Onshore,KY,Henderson,21101,,Oil (bbl),"10,042"
2003,Federal,Onshore,KY,Lawrence,21127,,Gas (mcf),"2,150"
2003,Federal,Onshore,KY,Leslie,21131,,Gas (mcf),"95,933"
2003,Federal,Onshore,KY,Leslie,21131,,Oil (bbl),666
2003,Federal,Onshore,KY,Letcher,21133,,Gas (mcf),758
2003,Federal,Onshore,KY,Mccreary,21147,,Gas (mcf),985
2003,Federal,Onshore,KY,Pike,21195,,Gas (mcf),"41,444"
2003,Federal,Onshore,KY,Whitley,21235,,Gas (mcf),"17,959"
2003,Federal,Onshore,LA,Beauregard,22011,,Gas (mcf),953
2003,Federal,Onshore,LA,Beauregard,22011,,Oil (bbl),160
2003,Federal,Onshore,LA,Bienville,22013,,Gas (mcf),"45,018"
2003,Federal,Onshore,LA,Bienville,22013,,Oil (bbl),63
2003,Federal,Onshore,LA,Bossier,22015,,Gas (mcf),"7,571,550"
2003,Federal,Onshore,LA,Bossier,22015,,Oil (bbl),"34,114"
2003,Federal,Onshore,LA,Caddo,22017,,Gas (mcf),"9,533"
2003,Federal,Onshore,LA,Caddo,22017,,Oil (bbl),"9,994"
2003,Federal,Onshore,LA,Calcasieu,22019,,Gas (mcf),"89,757"
2003,Federal,Onshore,LA,Calcasieu,22019,,Oil (bbl),467
2003,Federal,Onshore,LA,Cameron,22023,,Gas (mcf),"1,616"
2003,Federal,Onshore,LA,Cameron,22023,,Oil (bbl),39
2003,Federal,Onshore,LA,Claiborne,22027,,Gas (mcf),"244,409"
2003,Federal,Onshore,LA,Claiborne,22027,,Oil (bbl),"34,587"
2003,Federal,Onshore,LA,De Soto,22031,,Gas (mcf),"19,314"
2003,Federal,Onshore,LA,East Baton Rouge,22033,,Gas (mcf),"199,278"
2003,Federal,Onshore,LA,East Baton Rouge,22033,,Oil (bbl),"19,237"
2003,Federal,Onshore,LA,La Salle,22059,,Gas (mcf),643
2003,Federal,Onshore,LA,La Salle,22059,,Oil (bbl),875
2003,Federal,Onshore,LA,Lafourche,22057,,Gas (mcf),"1,456"
2003,Federal,Onshore,LA,Lafourche,22057,,Oil (bbl),"1,462"
2003,Federal,Onshore,LA,Lincoln,22061,,Gas (mcf),"41,814"
2003,Federal,Onshore,LA,Lincoln,22061,,Oil (bbl),891
2003,Federal,Onshore,LA,Morehouse,22067,,Gas (mcf),"1,441"
2003,Federal,Onshore,LA,Natchitoches,22069,,Gas (mcf),"14,998"
2003,Federal,Onshore,LA,Natchitoches,22069,,Oil (bbl),489
2003,Federal,Onshore,LA,Ouachita,22073,,Gas (mcf),650
2003,Federal,Onshore,LA,Plaquemines,22075,,Gas (mcf),"4,721,681"
2003,Federal,Onshore,LA,Plaquemines,22075,,Oil (bbl),"262,926"
2003,Federal,Onshore,LA,Rapides,22079,,Gas (mcf),"114,606"
2003,Federal,Onshore,LA,Rapides,22079,,Oil (bbl),"48,067"
2003,Federal,Onshore,LA,S Pass,22721,,Gas (mcf),"21,596"
2003,Federal,Onshore,LA,S Pass,22721,,Oil (bbl),"24,696"
2003,Federal,Onshore,LA,St. Martin,22099,,Gas (mcf),"1,751"
2003,Federal,Onshore,LA,St. Martin,22099,,Oil (bbl),"1,056"
2003,Federal,Onshore,LA,Terrebonne,22109,,Gas (mcf),"256,643"
2003,Federal,Onshore,LA,Terrebonne,22109,,Oil (bbl),667
2003,Federal,Onshore,LA,Union,22111,,Gas (mcf),"5,947"
2003,Federal,Onshore,LA,Vermilion,22113,,Gas (mcf),482
2003,Federal,Onshore,LA,Vermilion,22113,,Oil (bbl),"9,132"
