Production Date,Land Class,Land Category,Commodity,Volume
08/01/2015,Federal,Onshore,Gas Prod Vol (mcf),"291,432,298"
08/01/2015,Federal,Onshore,Oil Prod Vol (bbl),"15,508,675"
08/01/2015,Native American,Onshore,Coal Prod Vol (ton),"1,671,527"
08/01/2015,Native American,Onshore,Gas Prod Vol (mcf),"27,090,195"
08/01/2015,Native American,Onshore,Oil Prod Vol (bbl),"5,525,703"
09/01/2015,Federal,Offshore,Gas Prod Vol (mcf),"120,441,426"
09/01/2015,Federal,Offshore,Oil Prod Vol (bbl),"50,452,460"
09/01/2015,Federal,Onshore,Coal Prod Vol (ton),"32,645,633"
09/01/2015,Federal,Onshore,Gas Prod Vol (mcf),"283,289,396"
09/01/2015,Federal,Onshore,Oil Prod Vol (bbl),"14,851,399"
09/01/2015,Native American,Onshore,Coal Prod Vol (ton),"1,660,818"
09/01/2015,Native American,Onshore,Gas Prod Vol (mcf),"26,100,692"
09/01/2015,Native American,Onshore,Oil Prod Vol (bbl),"5,223,148"
10/01/2015,Federal,Offshore,Gas Prod Vol (mcf),"115,302,272"
10/01/2015,Federal,Offshore,Oil Prod Vol (bbl),"49,587,310"
10/01/2015,Federal,Onshore,Coal Prod Vol (ton),"34,933,375"
10/01/2015,Federal,Onshore,Gas Prod Vol (mcf),"291,390,695"
10/01/2015,Federal,Onshore,Oil Prod Vol (bbl),"15,077,445"
10/01/2015,Native American,Onshore,Coal Prod Vol (ton),"1,590,550"
10/01/2015,Native American,Onshore,Gas Prod Vol (mcf),"27,678,271"
10/01/2015,Native American,Onshore,Oil Prod Vol (bbl),"5,405,744"
11/01/2015,Federal,Offshore,Gas Prod Vol (mcf),"105,588,726"
11/01/2015,Federal,Offshore,Oil Prod Vol (bbl),"46,342,274"
11/01/2015,Federal,Onshore,Coal Prod Vol (ton),"31,907,688"
11/01/2015,Federal,Onshore,Gas Prod Vol (mcf),"283,329,302"
11/01/2015,Federal,Onshore,Oil Prod Vol (bbl),"14,785,556"
11/01/2015,Native American,Onshore,Coal Prod Vol (ton),"1,236,781"
11/01/2015,Native American,Onshore,Gas Prod Vol (mcf),"27,012,401"
11/01/2015,Native American,Onshore,Oil Prod Vol (bbl),"5,331,475"
12/01/2015,Federal,Offshore,Gas Prod Vol (mcf),"112,562,559"
12/01/2015,Federal,Offshore,Oil Prod Vol (bbl),"50,386,866"
12/01/2015,Federal,Onshore,Coal Prod Vol (ton),"24,654,378"
