Calendar Year,Corporate Name,Revenue Type,Commodity,Revenues
2013,ARCH COAL INC,OSMRE - AML Fees including Audits and Late Charges ,Coal,34036383.88
2013,ARENA ENERGY,ONRR - Civil Penalties,N/A,90000
2013,ARENA ENERGY,ONRR - Inspection Fees,Oil & Gas,2030000
2013,ARENA ENERGY,ONRR - Other Revenues,N/A,201.95
2013,ARENA ENERGY,ONRR - Other Revenues,Oil & Gas,81220.39
2013,ARENA ENERGY,ONRR - Royalties,Gas,12154105.69
2013,ARENA ENERGY,ONRR - Royalties,Oil,73382409.31
2013,ARENA ENERGY,ONRR/BLM - Bonus,Oil & Gas,1307000
2013,ARENA ENERGY,ONRR/BLM - Rents,Oil & Gas,1182339.84
2013,ARGUS ENERGY WV LLC,OSMRE - AML Fees including Audits and Late Charges ,Coal,130512.59
2013,ARMSTRONG COAL CO INC,OSMRE - AML Fees including Audits and Late Charges ,Coal,1839142.07
2013,ARMSTRONG CORP,ONRR - Royalties,Oil,254665.13
2013,ARMSTRONG CORP,ONRR/BLM - Rents,Oil & Gas,8213
2013,ARNELL OIL CO,ONRR - Royalties,Oil,246470
2013,ARROWHEAD RESOURCES USA LTD,ONRR - Other Revenues,Oil & Gas,5266.73
2013,ARROWHEAD RESOURCES USA LTD,ONRR - Royalties,Gas,534357.36
2013,ARSENAL ENERGY INC,ONRR - Royalties,Gas,537.47
2013,ARSENAL ENERGY INC,ONRR - Royalties,Oil,147072.45
2013,ASARCO LLC,BLM - Permit Fees,Locatable Minerals,419952
2013,ASPEN OPERATING CO LLC,ONRR - Other Revenues,Oil & Gas,617.99
2013,ASPEN OPERATING CO LLC,ONRR - Royalties,Gas,13342.13
2013,ASPEN OPERATING CO LLC,ONRR - Royalties,Oil,93386.99
2013,ATLAS RESOURCE PARTNERS LP,BLM - Permit Fees,Oil & Gas,90
2013,ATLAS RESOURCE PARTNERS LP,ONRR - Other Revenues,Oil & Gas,4708.28
2013,ATLAS RESOURCE PARTNERS LP,ONRR - Royalties,Gas,326599.86
2013,ATLAS RESOURCE PARTNERS LP,ONRR - Royalties,Oil,79751.86
2013,ATLAS RESOURCE PARTNERS LP,ONRR/BLM - Rents,Oil & Gas,669
2013,ATP OIL & GAS,ONRR - Other Revenues,Oil & Gas,-175931.83
2013,ATP OIL & GAS,ONRR - Royalties,Gas,505095.1
2013,ATP OIL & GAS,ONRR - Royalties,Oil,30488069.9
2013,ATP OIL & GAS,ONRR/BLM - Rents,Oil & Gas,532190
