original_name,new_name
GRANT CANYON OIL & GAS LLC,GRANT CANYON OIL AND GAS LLC
GRAYSON MILL OPERATING LLC,GRAYSON MILL ENERGY LLC
GREAT WESTERN DRILLING CO AND NEOFIRMA INC,GREAT WESTERN DRILLING CO
GREAT WESTERN OPERATING CO LLC,GREAT WESTERN OIL AND GAS LLC
GREAT WESTERN OIL & GAS LLC,GREAT WESTERN OIL AND GAS LLC
GREAT WESTERN DRILLING CO AND NEOFIRMA INC,GREAT WESTERN DRILLING CO
GRMR OIL & GAS LLC,GRMR OIL AND GAS LLC
HARBOUR ENERGY,HARBOUR ENERGY PLC
HIGHPOINT OPERATING CORP,HIGHPOINT RESOURCES CORP
HIGH PLAINS OPERATING CO LLC,HIGH PLAINS GAS LLC
HOUSTON ENERGY DEEPWATER PARTNERS SPRUAN,HOUSTON ENERGY LP
HOUSTON ENERGY DEEPWATER VENTURES I LLC,HOUSTON ENERGY LP
HOUSTON OIL PRODUCING ENTERPRISES INC,HOUSTON ENERGY LP
HOWARD ENERGY INC,HOWARD ENERGY CO INC
HRM RESOURCES III LLC,HRM RESOURCES LLC
HUNT CONSOLIDATED INC,HUNT OIL CO
HUNT CRUDE OIL SUPPLY CO,HUNT OIL CO
HYPERION OIL & GAS LLC,HYPERION OIL AND GAS LLC
ILX PROSPECT DANTZLER LLC,ILX HOLDINGS LLC
IMPACT EXPLORATION AND PRODUCTION PARTNERS LLC,IMPACT EXPLORATION AND PRODUCTION LLC
INCREMENTAL OIL & GAS USA HOLDING INC,INCREMENTAL OIL AND GAS USA HOLDING INC
INTREPID MINING LLC,INTREPID POTASH INC
INTREPID PRODUCTION CORP,INTREPID POTASH INC
J R SIMPLOT CO,J R SIMPLOT REVOCABLE TRUST
JMA ENERGY COMPANY LLC,JMA ENERGY CO LLC
JMA ENERGY INC,JMA ENERGY CO LLC
JMA RESOURCES INC,JMA ENERGY CO LLC
JONAH ENERGY CO,JONAH ENERGY LLC
JONAH ENERGY PARENT LLC,JONAH ENERGY LLC
JUNIPER RESOURCES LLC,JUNIPER RESOURCES EXPLORATION CO LLC
KINDER MORGAN CO,KINDER MORGAN INC
KINDER MORGAN ENERGY PARTNERS LP,KINDER MORGAN INC
KIRKWOOD,KIRKWOOD RESOURCES LLC
KIRKWOOD COMPANIES,KIRKWOOD RESOURCES LLC
KNIGHT RESOURCES,KNIGHT RESOURCES INC
KNIGHT RESOURCES LLC,KNIGHT RESOURCES INC
KODA RESOURCES LLC,KODA HOLDINGS LLC
KRAKEN OIL & GAS II LLC,KRAKEN RESOURCES LLC
KRAKEN OIL & GAS III LLC,KRAKEN RESOURCES LLC
KRAKEN OIL & GAS LLC,KRAKEN RESOURCES LLC
KRAKEN OIL AND GAS II LLC,KRAKEN RESOURCES LLC
KRAKEN OIL AND GAS IV LLC,KRAKEN RESOURCES LLC
KRAKEN OIL AND GAS LLC,KRAKEN RESOURCES LLC
LANDMARK ENERGY LLC,LANDMARK ENERGY XV LLC
LARAMIE ENERGY LLC,LARAMIE ENERGY II LLC
LEGACY RESERVES LP,LEGACY RESERVES INC
LEGACY RESERVES OPERATING LP,LEGACY RESERVES INC
LEXCO ACQUISITION CORP,LEXCO HOLDING LLC
LIBERTY PIONEER ENERGY SOURCE,LIBERTY PIONEER ENERGY SOURCE INC
LIME ROCK RESOURCES V-A LP,LIME ROCK RESOURCES
LINDE PLC,LINDE INC
LLOG DEEPWATER DEVELOPMENT COMPANY II LL,LLOG EXPLORATION LLC
LLOG EXPLORATION CO LLC,LLOG EXPLORATION LLC
LLOG EXPLORATION OFFSHORE INC,LLOG EXPLORATION LLC
LLOG EXPLORATION OFFSHORE LLC,LLOG EXPLORATION LLC
LOGOS OPERATING LLC,LOGOS RESOURCES II LLC
M & K OIL CO,M AND K OIL CO LLC
M & K OIL CO LLC,M AND K OIL CO LLC
M AND K OIL CO,M AND K OIL CO LLC
M AND K OIL CO LLC,M AND K OIL CO LLC
M&G DRILLING CO INC,M AND G DRILLING CO INC
MAR OIL & GAS CORP,MAR OIL AND GAS CORP
MARATHON OIL CORP,MARATHON OIL CO
MARATHON PETROLEUM CORP,MARATHON OIL CO
MARQUIS RESOURCES INC,MARQUIS RESOURCES LLC
MARSHALL & WINSTON INC,MARSHALL AND WINSTON INC
MARUBENI OIL & GAS USA INC,MARUBENI CORP
MAURICE W BROWN OIL & GAS LLC,MAURICE W BROWN OIL AND GAS LLC
MEDCO ENERGI INTERNASIONAL TBK,MEDCO ENERGI US LLC
MEMORIAL OPERATING PRODUCTION LLC,MEMORIAL RESOURCE DEVELOPMENT GROUP
MEMORIAL PRODUCTION OPERATING LLC,MEMORIAL RESOURCE DEVELOPMENT GROUP
MERIT ENERGY CO LLC,MERIT ENERGY CO
MERIT MANAGEMENT PARTNERS III LP,MERIT ENERGY CO
MERRION OIL & GAS CORP,MERRION OIL AND GAS CORP
MEWBOURNE OIL CO,MEWBOURNE HOLDINGS INC
MID-CON ENERGY III LLC,MID-CON ENERGY PARTNERS LP
MITSU & CO LTD,MITSU AND CO LTD
MITSUI GROUP,MITSUI OIL EXPLORATION CO LTD
MONCRIEF OIL,MONCRIEF PARTNERS LP
MOTHER EARTH IND - GEOTHERMAL,MOTHER EARTH INDUSTRIES
MURCHISON OIL & GAS INC,MURCHISON OIL AND GAS LLC
MURCHISON OIL AND GAS INC,MURCHISON OIL AND GAS LLC
MURPHY OIL USA INC,MURPHY OIL CORP
MURRAY ENERGY HOLDINGS CO,MURRAY ENERGY CORP
NATIONAL FUEL CORP LTD,NATIONAL FUEL CORP
NAVAJO NATION,NAVAJO NATION OIL AND GAS CO INC
NAVAJO TRANSITIONAL ENERGY CORP,NAVAJO TRANSITIONAL ENERGY CO
NAVIGATION POWDER RIVER LLC,NAVIGATION PETROLEUM
NEW MEXICO SALT & MINERALS CORP,NEW MEXICO SALT AND MINERALS CORP
NEW MEXICO SALT & MINERALS INC,NEW MEXICO SALT AND MINERALS CORP
NEW MEXICO SALT AND MINERALS INC,NEW MEXICO SALT AND MINERALS CORP
NIRMA,NIRMA LTD
NOBLE ENERGY,NOBLE ENERGY INC
NORTH SHORE EXPLORATION & PRODUCTION LLC,NORTH SHORE EXPLORATION AND PRODUCTION LLC
NORTH SILO RESOURCES,NORTH SILO RESOURCES LLC
NORTHERN CALIFORNIA POWER AGENCY,NORTHERN CA POWER AGENCY
NORTHWESTERN ENERGY,NORTHWESTERN CORP
NOVO OIL & GAS LLC,NOVO OIL AND GAS LLC
NUCOR ENERGY HOLDINGS INC,NUCOR CORP
O&G PROF,O AND G PROF-J AND M RAYMOND
O&G PROF-J&M RAYMOND,O AND G PROF-J AND M RAYMOND
OASIS PETROLEUM NORTH AMERICA LLC,OASIS PETROLEUM INC
OG OIL & GAS LTD,OG OIL AND GAS LTD
OGOG (GOM 1) INC,OGOG GOM 1 INC
OPAL OPERATING CO LLC,OPAL RESOURCES LLC
ORINOCO NATURAL RESOURCES LLC,ORINOCO NATURAL RESOURCES
ORMAT NEVADA INC,ORMAT TECHNOLOGIES INC
OVINTIV USA INC,OVINTIV INC
OWN RESOURCES OPERATING,OWN RESOURCES OPERATING LLC
OXBOW CORP,OXBOW GROUP
OXBOW ENERGY CORP,OXBOW GROUP
OXBOW MINING INC,OXBOW GROUP
PABLO ENERGY II LLC,PABLO OPERATING CO
PADCO WYOMING LLC,PADCO LLC
PARADOX UPSTREAM LLC,PARADOX RESOURCES LLC
PATARA OIL & GAS LLC,PATARA OIL AND GAS LLC
PAUL & LYNN SAWYER REV LIVING TRUST,PAUL AND LYNN SAWYER REV LIVING TRUST
PDC ENERGY INC,PDC ENERGY
PDC ENERGY LLC,PDC ENERGY
PEAK E&P LLC,PEAK E AND P LLC
PEAK EXPLORATION & PRODUCTION LLC,PEAK E AND P LLC
PERCUSSION PETROLEUM OPERATING LLC,PERCUSSION PETROLEUM LLC
PEREGRINE OIL & GAS COMPANIES,PEREGRINE OIL AND GAS COMPANIES
PEREGRINE OIL & GAS LP,PEREGRINE OIL AND GAS COMPANIES
PEREGRINE OIL AND GAS LP,PEREGRINE OIL AND GAS COMPANIES
PETER KIEWIT SON'S INC,PETER KIEWIT SONS INC
PETEX,PETEX LTD
PETRO HARVESTER OIL & GAS LLC,PETRO HARVESTER LLC
PHOENIX CAPITAL GROUP HOLDINGS LLC,PHOENIX ENERGY INC
PHOENIX HYDROCARBONS OPERATING CORP,PHOENIX ENERGY INC
PHOENIX OPERATING CO,PHOENIX ENERGY INC
PHX ENERGY LLC,PHOENIX ENERGY INC
PINEDALE ENERGY LTD,PINEDALE ENERGY INC
PIONEER OIL & GAS CORP,PIONEER OIL AND GAS CORP
PLAINS ALL AMERICAN PIPELINE LP,PLAINS GP HOLDINGS
PLAINS MARKETING LP,PLAINS GP HOLDINGS
PO&G RESOURCES LP,PO AND G RESOURCES LP
PRODUCTION GATHERING CO LP,PRODUCTION GATHERING CO
QB ENERGY LEGACY,QB ENERGY
QEP RESOURCES CO,QEP RESOURCES INC
R & R ROYALTY LTD,R AND R ROYALTY LTD
RANGEVIEW RESOURCES OPERATING COMPANY LL,RANGEVIEW RESOURCES OPERATING CO LL
READ & STEVENS INC,READ AND STEVENS INC
REBELLION ENERGY LLC,REBELLION ENERGY II LLC
RED WILLOW PRODUCTION CO,RED WILLOW OFFSHORE LLC
REDBUD E&P INC,REDBUD E AND P INC
REPSOL E&P USA INC,REPSOL SA
RICHARDSON OIL,RICHARDSON OPERATING CO
RIDGEWOOD ENERGY CORP,RIDGEWOOD COMPANIES
RIDGEWOOD ENERGY OIL AND GAS FUND III LP,RIDGEWOOD COMPANIES
RIDGEWOOD ENERGY OIL AND GAS FUND IV LP,RIDGEWOOD COMPANIES
RIM OPERATING INC,RIM OFFSHORE INC
RIMROCK OIL & GAS LLC,RIMROCK OIL AND GAS LLC
RIMROCK OIL & GAS WILLISTON LLC,RIMROCK OIL AND GAS LLC
RIO TINTO ENERGY AMERICA INC,RIO TINTO
